Module Code;Module Name;Year Level;Programmes;Pre-requisite;Co-requisite;Learning Outcome;Main Content;Credits
AFN111;Afrikaans/Nederlands Studies 111 (N);Level 1;2101, 4401, 4517;Afrikaans on matric level or similar;None;Describe and analyze basic literary texts and linguistic structures in Afrikaans/Nederlands.;Introduction to Afrikaans syntax, historical linguistics, and modern prose and drama.;15
AFN121;Afrikaans/Nederlands Studies 121 (N);Level 1;2101, 4401, 4517;None;None;Analyze historical and modern Dutch and Afrikaans prose, and demonstrate reading fluency.;"Selected historical and modern Dutch and Afrikaans prose; introduction to poetry.";15
AFP111;Afrikaans Prakties 111;Level 1;2101, 4401, 4517;None;None;Apply practical communication, writing, and grammatical skills in professional Afrikaans.;General communication, grammar, practical writing for business, and comprehension skills.;15
AFP121;Afrikaans Prakties 121;Level 1;2101, 4401, 4517;None;None;Demonstrate advanced reading, text editing, and writing skills in professional Afrikaans.;Practical writing, text analysis, editing, syntax, and advanced comprehension.;15
AFR002;Introduction to Afrikaans 002 (SC);Level 1;3214, 3217, 3211, 3331, 3227, 3230, 3233, 4401, 4517;None;None;Develop foundational reading and writing skills in Afrikaans for sciences.;Academic language acquisition, basic terminology, and translation exercises.;10
AFR101;Afrikaans Language Acquisition 101;Level 1;2101, 4401, 4517;Passed Afrikaans HL/FAL in Grade 12 prohibited;None;Communicate, write, and comprehend basic Afrikaans in social and professional settings.;Introductory vocabulary, basic grammar, speech structures, and reading comprehension.;30
AFR211;Afrikaans 211;Level 2;2101, 4401, 4517;AFN111 & AFN121 or AFP111 & AFP121;None;Analyze modern Afrikaans poetry and linguistic structures.;"Afrikaans poetry; phonology and morphology; introduction to Dutch language.";10
AFR212;Afrikaans 212;Level 2;2101, 4401, 4517;None;None;Analyze Afrikaans drama and prose in historical and contemporary contexts.;"Afrikaans drama and prose; sociolinguistic aspects of Afrikaans.";10
AFR221;Afrikaans 221;Level 2;2101, 4401, 4517;None;None;Critically analyze Dutch literature and historical linguistics.;"Dutch literature of the 19th and 20th centuries; historical grammar.";10
AFR222;Afrikaans 222;Level 2;2101, 4401, 4517;None;None;Apply literary theory to modern Afrikaans texts.;"Selected modern Afrikaans texts; literary theory and critical text analysis.";10
AFR231;Afrikaans 231;Level 2;2101, 4401, 4517;None;None;Develop copy editing and publishing skills in Afrikaans.;Afrikaans copy editing, proofreading, and general publishing practices.;10
AFR241;Afrikaans 241;Level 2;2101, 4401, 4517;None;None;Understand linguistic diversity and lexicography in Afrikaans.;Afrikaans lexicography, dictionaries, and dialectology.;10
AFR243;Afrikaans 243;Level 2;2101, 4401, 4517;None;None;Develop professional translation and interpreting techniques.;"Basic translation theory; practical translation and interpreting (English-Afrikaans).";10
AFR311;Afrikaans 311;Level 3;2101, 4401, 4517;AFR211;None;Critically evaluate historical and modern Afrikaans literature and syntax.;Advanced Afrikaans syntax, literature, and Dutch studies.;10
AFR312;Afrikaans 312;Level 3;2101, 4401, 4517;AFR211 & AFR212 & AFR221 & AFR222;None;Synthesize advanced linguistic theories and literary movements.;"Afrikaans linguistics (semantics and pragmatics); Dutch literary history.";10
AFR321;Afrikaans 321;Level 3;2101, 4401, 4517;None;None;Analyze colonial and post-colonial themes in Dutch and Afrikaans literature.;Dutch and Afrikaans literature (colonialism, identity, and gender).;10
AFR322;Afrikaans 322;Level 3;2101, 4401, 4517;None;None;Demonstrate critical research skills in Afrikaans literary theory.;"Research methodology in literary studies; independent project.";10
AFR331;Afrikaans 331;Level 3;2101, 4401, 4517;AFR231;None;Apply advanced editing and writing protocols in publishing.;Advanced copy editing, layout design, and creative writing.;10
AFR333;Afrikaans 333;Level 3;2101, 4401, 4517;AFR243;None;Perform complex technical translation and localization.;Technical translation, software localization, and term creation.;10
AFR341;Afrikaans 341;Level 3;2101, 4401, 4517;AFR241;None;Examine language planning, policy, and language rights.;"Language planning and policy in South Africa; dialectology.";10
AFR342;Afrikaans 342;Level 3;2101, 4401, 4517;None;None;Demonstrate communicative mastery in professional translation settings.;"Practical internships; project portfolios in translation and copy editing.";10
AFR701;Research Essay 701;Honours;2731, 2701;AFR311, AFR312, AFR321, AFR322;None;Conduct independent research and produce an Honours-level research essay.;Supervised research on a approved topic in Afrikaans/Nederlands linguistics or literature.;30
AFR732;Literary Theory 732;Honours;2731, 2701;None;None;Critically apply major 20th and 21st-century literary theories.;Structuralism, post-structuralism, psychoanalysis, feminism, and post-colonialism.;30
AFR733;Linguistic Theory 733;Honours;2731, 2701;None;None;Examine and apply contemporary models of syntax and semantics.;Generative grammar, cognitive linguistics, and semantic analysis.;30
AFR736;Afrikaans Language Structure 736;Honours;2731, 2701;None;None;Analyze micro-structural and grammatical patterns in Afrikaans.;Advanced phonology, morphology, and syntactic structure of Afrikaans.;30
AFR737;Semiotics 737;Honours;2731, 2701;None;None;Evaluate cultural sign systems, media, and visual semiotics.;"Theories of signs (Saussure, Peirce); cultural semiotics and film analysis.";30
AFR742;South African Theatre Production 742;Honours;2731, 2701;None;None;Design and evaluate South African dramatic texts and stage performances.;"History of SA theatre; dramatic theory; text-to-stage production dynamics.";30
AFR743;South African Poetry 743;Honours;2731, 2701;None;None;Critically analyze diverse voices and political themes in SA poetry.;"Afrikaans, English, and translated SA poetry; socio-political contexts.";30
AFR744;Narrative in the Southern African Context 744;Honours;2731, 2701;None;None;Analyze oral and written storytelling traditions in Southern Africa.;Orality, folklore, early prose, and contemporary Southern African novels.;30
AFR745;Contemporary Dutch Literature 745;Honours;2731, 2701;None;None;Critically analyze contemporary Dutch and Flemish novels and poetry.;"Post-war Dutch literature; modern Flemish writers; translation studies.";30
AFR747;Creative Writing 747;Honours;2731, 2701;None;None;Develop an advanced creative portfolio in poetry, prose, or drama.;"Workshops in creative writing; narrative structure; manuscript preparation.";30
AFR801;Master's Thesis 801;Master's;2801, 2808;Honours degree in Afrikaans;None;Formulate and complete a comprehensive full research thesis at NQF Level 9.;Independent research project under supervision on an approved academic topic.;180
AFR802;Master's Thesis 802;Master's;2801, 2808;None;None;Complete the second enrolment year of the Master's research thesis.;Thesis writing, submission, defense preparation, and revision process.;9
AFR803;Master's Mini-Thesis 803;Master's;2808;Honours degree in Afrikaans;None;Conduct structured, limited research and write a mini-thesis.;Independent structured research project of limited scope (NQF Level 9).;90
AFR804;Master's Mini-Thesis 804;Master's;2808;None;None;Complete the final draft and submission of the Master's mini-thesis.;Mini-thesis editing, layout compliance, and submission for examination.;9
AFR901;Afrikaans Doctoral Thesis 901;Doctoral;2951, 6901;Master's degree in Afrikaans;None;Perform pioneering doctoral research making an original contribution.;Supervised execution of a PhD-level research thesis.;360
AFR902;Afrikaans Doctoral Thesis 902;Doctoral;2951, 6901;None;None;Complete the doctoral research thesis for final examination.;PhD thesis finalization, defense preparation, and academic publication.;10
AIL101;Academic and Information Literacies 101;Level 1;2612, 2201;None;None;Research academic topics using digital databases and write structured argumentative essays.;Academic reading, essay structures, research strategies, referencing, and academic integrity.;20
ANT131;Anthropology 131;Level 1;2101, 4401, 4517, 8411, 8560;None;None;Understand and define fundamental concepts in socio-cultural anthropology.;Evolution of culture, kinship systems, social organization, and cultural relativism.;15
ANT132;Anthropology 132;Level 1;2101, 4401, 4517, 8411, 8560;None;None;Apply anthropological theory to global issues and diverse human practices.;Medical anthropology, ritual and belief systems, economic structures, and globalization.;15
ANT222;Anthropology 222;Level 2;2101, 4401, 4517, 8411, 8560;None;None;Examine the anthropology of urban spaces, migration, and development.;Urbanization, slums, informal economies, trans-nationalism, and migration patterns.;10
ANT231;Anthropology 231;Level 2;2101, 4401, 4517, 8411, 8560;None;None;Analyze research methodologies in anthropology, focusing on ethnography.;Participant observation, ethical codes, qualitative interviewing, and fieldnotes.;20
ANT232;Anthropology 232;Level 2;2101, 4401, 4517, 8411, 8560;None;None;Critically analyze political anthropology, power, and state structures.;Sovereignty, colonial history, resistance, ethnicity, and post-colonial statehood.;20
ANT331;Anthropology 331;Level 3;2101, 4401, 4517, 8411, 8560;None;None;Examine advanced anthropological theories from functionalism to post-modernism.;"History of anthropological thought; structuralism, Marxism, and reflexivity.";20
ANT332;Anthropology 332;Level 3;2101, 4401, 4517, 8411, 8560;None;None;Analyze the relationship between gender, sexuality, and cultural performance.;Feminist anthropology, queer theory, performance of identity, and bodily practices.;20
ANT333;Anthropology 333;Level 3;2101, 4401, 4517, 8411, 8560;None;None;Evaluate the anthropology of visual media, film, and representation.;Ethnographic film, photography, indigenous media, and representation theories.;10
ANT701;Research Essay 701;Honours;2731, 2701;None;None;Complete an Honours-level research essay utilizing ethnographic methods.;Supervised execution of research proposal, fieldwork, and writing of research essay.;30
ANT731;Theory in Anthropology 731;Honours;2731, 2701;None;None;Critically analyze contemporary theoretical shifts in global anthropology.;Aesthetic turn, ontological turn, post-humanism, and decolonial anthropology.;30
ANT732;Ethnography 732;Honours;2731, 2701;None;None;Critically read and analyze classic and contemporary ethnographies.;Deep reading of monographs, stylistic analysis, and narrative construction.;30
ANT736;Medical Anthropology 736;Honours;2731, 2701;None;None;Evaluate social and cultural dimensions of health, illness, and healing.;Political economy of health, ethno-medicine, biomedicine as culture, and HIV/AIDS.;30
ANT737;Urban Anthropology 737;Honours;2731, 2701;None;None;Understand space, place, and architectural structures anthropologically.;Production of space, gentrification, social exclusion, and city life ethnography.;30
ANT738;Development Anthropology 738;Honours;2731, 2701;None;None;Evaluate policies, NGOs, and community-led development critically.;Critique of humanitarianism, development agencies, and local agency.;30
ANT739;Visual Anthropology 739;Honours;2731, 2701;None;None;Construct ethnographic visual narratives and film proposals.;Applied visual methods, camera techniques, and documentary analysis.;30
ANT740;Anthropology of Religion 740;Honours;2731, 2701;None;None;Analyze modern religious movements, witchcraft, and secularism.;New religious movements, occult economies, ritual theory, and fundamentalism.;30
ANT741;Special Topics in Anthropology 741;Honours;2731, 2701;None;None;Perform focused research on a current global anthropological topic.;Emerging global debates, violence, environment, or digital ethnography.;30
ANT801;Master's Thesis 801;Master's;2801, 2808;Honours degree in Anthropology;None;Develop and complete a full Master's research thesis in Anthropology.;Supervised execution of an original ethnographic research project.;180
ANT802;Master's Thesis 802;Master's;2801, 2808;None;None;Complete the writing and examination of the MA thesis.;Final revisions, compiling chapters, and submission for assessment.;9
ANT803;Master's Mini-Thesis 803;Master's;2808;Honours degree in Anthropology;None;Conduct structured, limited ethnographic research and compile a mini-thesis.;Limited scope supervised ethnographic study and report production.;90
ANT804;Master's Mini-Thesis 804;Master's;2808;None;None;Prepare the final mini-thesis submission for master's degree requirements.;Mini-thesis editing, layout validation, and submission.;9
ANT830;Advanced Social Theory 830;Master's;2801, 2808;None;None;Synthesize advanced social and philosophical theories.;Post-structuralism, post-coloniality, biopolitics, and assemblage theory.;30
ANT833;Ethnographic Research Design 833;Master's;2801, 2808;None;None;Design and write a comprehensive, ethically sound fieldwork proposal.;Fieldwork ethics, reflexivity, research questions, and institutional approval.;30
ANT838;Anthropology of Publics and Public Space 838;Master's;2801, 2808;None;None;Analyze the formation of publics and political action.;Habermas, counter-publics, protests, media publics, and citizenship.;30
ANT839;Anthropology of Body and Affect 839;Master's;2801, 2808;None;None;Understand the body and emotion through affect theory.;Theory of affect, embodiment, sensory ethnography, and neuro-anthropology.;30
ANT840;Post-Colonial Landscapes 840;Master's;2801, 2808;None;None;Analyze historical and ecological production of spaces.;Socio-ecological systems, political ecology, property, and landscape history.;30
ANT841;Violence, Memory and Trauma 841;Master's;2801, 2808;None;None;Analyze social trauma, historical memory, and state violence.;State terror, reconciliation commissions, memorialization, and structural violence.;30
ANT847;Anthropology of Science and Technology 847;Master's;2801, 2808;None;None;Evaluate scientific knowledge and technology ethnographically.;Actor-network theory, digital platforms, biotechnology, and algorithm ethnography.;30
ANT852;Specialist Reading Module 852;Master's;2801, 2808;None;None;Develop an advanced literature review in a specialized sub-field.;Independent, directed reading under guidance of an assigned expert advisor.;30
ANT901;Anthropology Doctoral Thesis 901;Doctoral;2951, 6901;Master's degree in Anthropology;None;Formulate and execute a pioneering PhD thesis making an original contribution.;Supervised execution of an original doctoral dissertation.;360
ANT902;Anthropology Doctoral Thesis 902;Doctoral;2951, 6901;None;None;Finalize the PhD thesis for examination and academic publication.;Review, assembly, and preparation of PhD dissertation for graduation.;10
ARA111;Arabic 111;Level 1;2101, 4401, 4517;None;None;Read and write Arabic script, and use fundamental grammar.;Alphabet, spelling, basic vocabulary, simple sentence structures, and phonetics.;15
ARA121;Arabic 121;Level 1;2101, 4401, 4517;ARA111;None;Hold basic conversations and read simple Arabic texts.;Vocabulary expansion, verb conjugations, reading and writing exercises.;15
ARA211;Arabic 211;Level 2;2101, 4401, 4517;ARA111 & ARA121;None;Analyze intermediate Arabic grammatical structures and literature.;Noun-adjective agreements, weak verbs, reading selections of classical texts.;10
ARA212;Arabic 212;Level 2;2101, 4401, 4517;None;None;Translate intermediate texts from Arabic to English.;Translation methodologies, grammatical analysis, and contextual lexicon.;10
ARA221;Arabic 221;Level 2;2101, 4401, 4517;None;None;Hold complex conversations about daily and academic topics in Arabic.;Oral communication, listening comprehension, and dialogue construction.;10
ARA222;Arabic 222;Level 2;2101, 4401, 4517;None;None;Analyze classical and modern Arabic prose.;Structure of prose, narrative styles, and historical language evolution.;10
