Programme.Name;Programme.Code;Abbreviation;Duration.Years
Bachelor of Arts;2101;BA;3
Bachelor of Arts (Extended Curriculum Programme);2612;BA;4
Bachelor of Library and Information Studies;2201;B (Library and Information Studies);4
Bachelor of Theology (Full-Time);2013;BTh;3
Bachelor of Theology (Part-Time);2016;BTh;5
Bachelor of Arts Honours (Full-Time);2731;BAHons;1
Bachelor of Arts Honours (Part-Time);2701;BAHons;2
Master of Arts (Structured);2808;MA;1
Master of Arts (Thesis);2801;MA;1
Master of Arts in Creative Writing;2807;MA (Creative Writing);1
Master of Library and Information Studies (Structured);2848;M (Library and Information Studies);1
Master of Library and Information Studies (Thesis);2841;M (Library and Information Studies);1
Master of Philosophy in Theological Studies (Structured);6815;MPhil (Theological Studies);1
Master of Philosophy in Theological Studies (Thesis);6827;MPhil (Theological Studies);1
Master of Theology (Structured);6803;MTh;1
Master of Theology (Thesis);6801;MTh;1
Doctor of Philosophy;2951;PhD;2
Doctor of Theology;6901;DTh;2
Postgraduate Diploma in Library and Information Studies;2829;PGDip (Library and Information Studies);1
Postgraduate Diploma in Language Practice;2827;PGDip (Language Practice);1
