Module Code;Module Name;Year Level;Programmes;Pre-requisite;Co-requisite;Learning Outcome;Main Content;Credits
BCM301;General Medicine 301;Level 3;8334, 8324, 8354, 8344;NAT311, MBS231, MBS232, MIC251, MIC252;NAT321;Perform systematic clinical histories and physical examinations of organ systems.;Cardiovascular, respiratory, gastrointestinal, neurological, and endocrine systems.;30
BCM401;General Medicine 401;Level 4;8334, 8324, 8354, 8344;BCM301, NAT321;BCM402;Diagnose and formulate integrative medical management for cardiovascular diseases.;Ischemic heart disease, hypertension, valvular disorders, and ECG diagnostics.;30
BCM402;Clinical Diagnosis 402;Level 4;8334, 8324, 8354, 8344;BCM301, NAT311, NAT321;BCM401;Perform advanced clinical diagnostic maneuvers and interpret laboratory tests.;Urinalysis, blood profiles, radiographic imaging, and clinical diagnostics lab.;20
BCM403;Practice Management for Complementary Health Practitioners 403;Level 4;8334, 8324, 8354, 8344;None;None;Examine legal, operational, and financial requirements for clinical practices.;Small business plan, tax compliance, marketing, patient billing, and legal liabilities.;10
BCM410;Counselling Skills 410;Level 4;8334, 8324, 8354, 8344;None;None;Apply patient-centered counseling and basic psychotherapy models.;Empathy building, solution-focused therapy, crisis management, and patient communication.;10
BCM501;Ethics, Jurisprudence and Practice Management 501;Level 5;8334, 8324, 8354, 8344;None;None;Resolve complex ethical and legal disputes in professional healthcare settings.;AHPCSA regulations, medical law, malpractice liabilities, and clinical record laws.;10
CFS901;Child and Family Studies Doctoral Thesis 901;Doctoral;8950;None;None;Formulate a significant novel contribution to child and family sciences knowledge.;Supervised execution of doctoral research dissertation.;360
CFS902;Child and Family Studies Doctoral Thesis 902;Doctoral;8950;None;None;Defend and publish doctoral research.;Dissertation defense and academic journal publication.;10
CMA101;Chinese Medicine Theory 101;Level 1;8344;None;None;Explain foundational theories of Yin-Yang, Wu Xing, Qi, Blood, and Body Fluids.;Introduction to TCM philosophy, five elements, Zang-Fu organ systems, and etiology.;25
CMA201;Chinese Medicine Theory 201;Level 2;8344;CMA101;None;Identify clinical indicators of meridian pathways and acupoint locations.;Twelve regular meridians, eight extraordinary vessels, and anatomical point-finding.;20
CMA202;Chinese Medicine Materia Medica 202;Level 2;8344;CMA101;None;Classify major Chinese medicinal herbs by category, taste, and temperature.;Herbology introduction, properties, processing, indications, and formula design.;20
CMA203;Acupuncture Techniques 203;Level 2;8344;CMA101;None;Perform safe needle insertion, manipulation, moxibustion, and cupping.;Practical needling, clean-needle technique, safety, electro-acupuncture, and cupping.;15
CMA303;Chinese Medicine Theory 303;Level 3;8344;CMA201, CMA202, CMA203;None;Apply Zang-Fu and meridian differentiation models to diagnose medical cases.;Diagnostics, pulse taking, tongue reading, six-stage, and four-level differentiation.;20
CMA304;Chinese Herbal Medicine 304;Level 3;8344;CMA202;None;Prescribe classic Chinese herbal formulas for common acute diseases.;Classical formulas, modifications, toxicology, contraindications, and dispensing.;20
CMA313;Acupuncture 313;Level 3;8344;CMA201, CMA202, CMA203;None;Design clinical acupoint formulas based on syndrome differentiation.;Acupoint selection strategies, point combinations, microsystems (ear/scalp), and clinical cases.;10
CMA323;Clinical Diagnostics 323;Level 3;8344;None;None;Diagnose respiratory and gastrointestinal conditions using integrative methods.;Tongue and pulse diagnosis coupled with basic physical exams and medical history.;10
CMA401;Chinese Medicine Theory 401;Honours;8344;CMA303, CMA304, CMA313, CMA323;CMA405;Prescribe complex TCM formulas for advanced internal medicine cases.;TCM internal medicine, complex pulse analysis, and advanced formula modifications.;20
CMA402;Chinese Medicine Theory 402;Honours;8344;CMA303, CMA304, CMA313/323;CMA405, CMA404;Design specialized acupuncture protocols for neurological and psychiatric disorders.;TCM psychiatry, paralysis protocols, stroke rehabilitation, and pain management.;20
CMA404;Clinical Practice 404;Honours;8344;None;None;Perform independent clinical duties, patient intake, and treatments under supervision.;Clinical rotation hours, pulse-tongue audits, case presentations, and treatment plans.;20
CMA405;TCM Gynecology and Pediatrics 405;Honours;8344;None;None;Prescribe specialized herbal and acupuncture treatments for maternal and pediatric cases.;Infertility, menstrual disorders, pediatric massage, and childhood asthma treatments.;20
CMA502;TCM Diagnostics 502;Honours;8344;None;None;Analyze advanced diagnostic signs of terminal and chronic systemic conditions.;Advanced tongue-pulse, palpation, medical-imaging integration, and diagnostic reports.;20
CMA503;TCM Specialties 503;Honours;8344;None;None;Apply TCM dermatology, ophthalmology, and ENT treatment protocols.;Herbal poultices, specialized ointments, ophthalmology point formulas, and ENT cases.;20
CMA504;Advanced Clinical Practice 504;Honours;8344;None;None;Manage clinical operations and deliver autonomous TCM healthcare in clinics.;TCM clinic internship, advanced needling techniques, and professional business practices.;40
CUR111;Clinical Nursing (LAB) 111;Level 1;8313, 4401;None;NUR111, NUR112, CHM128, PHY118, HUB118, HUB128;Perform fundamental clinical nursing and basic life support procedures.;Practical clinical simulation training, patient hygiene, wound dressing, and vitals.;15
CUR214;Intro to Mental Health 214;Level 2;8313;None;None;Identify clinical indicators of psychiatric and mental health conditions.;Pathophysiology of mental illness, therapeutic communication, and nursing interventions.;10
CUR311;Community Health Nursing 311;Level 3;8313;None;None;Formulate family-centered primary health care plans in community settings.;Family assessment, maternal-child health, home visits, and health education.;30
CUR312;Community Health Nursing 312;Level 3;8313;None;None;Perform community health diagnostic assessments.;Epidemiological profiling, community resource mapping, and report writing.;15
CUR324;Community Health Nursing 324;Level 3;8313;None;CUR325;Plan community health interventions in alignment with National Health Act.;Community organization, primary health care clinic management, and health policy.;30
CUR325;Community Health Nursing 325;Level 3;8313;None;None;Deliver comprehensive environmental health and communicable disease programmes.;Sanitation, vector control, infectious disease control, and vaccination campaigns.;15
CUR326;Midwifery 326;Level 3;8313;NRS211, NRS212;None;Manage low-risk antenatal care, labor, and postpartum periods.;Antenatal screening, stage 1-3 labor management, and immediate newborn care.;30
CUR327;Midwifery 327;Level 3;8313;NRS211, NRS212;None;Perform clinical assessments and deliveries in low-risk maternity settings.;Practical clinical midwifery hours, low-risk deliveries, and neonatal resuscitation.;15
CUR331;Midwifery 331;Level 3;8313;NRS211, NRS212;None;Diagnose and manage complications during pregnancy and childbirth.;High-risk pregnancy, dystocia, postpartum hemorrhage, and neonatal complications.;30
CUR332;Midwifery 332;Level 3;8313;NRS211, NRS212;None;Prescribe emergency clinical interventions in obstetric crisis.;Practical clinical management of obstetric emergencies and neonatal intensive care.;15
CUR334;Unit Management 334;Level 3;8313;NRS211, NRS212, CUR214;NRS313, CUR312, CUR331, CUR332;Apply unit-level clinical leadership and manage human resources in nursing units.;Staffing models, shift scheduling, conflict management, and quality indicators.;15
CUR336;Unit Management 336;Level 3;8313;NRS211, NRS212, CUR214;NRS324, CUR326, CUR327, CUR325;Formulate quality improvement projects and manage operational budgets in units.;Cost containment, clinical auditing, nursing standards, and incident reporting.;15
DIE101;Dietetics Skills Practice 101;Level 1;8231;None;NUT141;Apply clinical dietetic skills in simulation laboratory settings.;Measuring ingredients, menu planning, food preparation, and food hygiene.;10
DIE201;Dietetics Practice 201;Level 2;8231;None;None;Conduct basic dietary assessments on hospital patients.;Anthropometry, 24-hour recalls, food frequency questionnaires, and clinical logs.;10
DIE244;Dietary Methodology 244;Level 2;8231;None;None;Calculate and interpret nutrition requirements and diets.;Energy requirement formulas, nutritional databases, and dietary guidelines.;10
DIE301;Dietetics Practice 301;Level 3;8231;None;None;Manage clinical dietetic evaluations in therapeutic and pediatric wards.;Clinical placement rotation, nutrition care process, and patient dietary records.;15
DIE312;Therapeutic Nutrition 312;Level 3;8231;None;None;Design specialized nutritional therapies for metabolic conditions.;Diabetes, renal, cardiovascular nutritional therapy, and enteral feeding.;15
DIE313;Pediatric Nutrition 313;Level 3;8231;None;None;Design nutritional interventions for pediatric malnutrition and diseases.;Infant feeding, severe acute malnutrition, pediatric gastroenterology, and diets.;15
DIE316;Community Nutrition 316;Level 3;8231;None;None;Formulate community-wide nutrition and food security programmes.;Nutritional surveillance, community food gardens, and nutrition education.;15
DIE317;Introduction to Research Methodology 317;Level 3;8231;None;None;Formulate an ethically sound clinical research proposal in dietetics.;Problem statement, literature review, dietetics methodology, and ethical clearance.;10
DIE322;Community Nutrition 322;Level 3;8231;NUT211, NUT221;None;Implement and evaluate national nutrition education campaigns.;Behavior change theories, communication tools, and evaluation reports.;10
DIE323;Foodservice Management 323;Level 3;8231;HEC114, DIE224;None;Design large-scale kitchen layouts and foodservice operation plans.;Menu planning, food procurement, food cost control, and food safety standards.;10
DIE326;Therapeutic Nutrition 326;Level 3;8231;NUT211, NUT221;DIE316, PSE319, PSE329, DIE301, PCL315;Formulate parenterally and enterally infused nutritional regimens.;Parenteral nutrition formulas, clinical critical care feeding, and ethics.;15
DIE401;Dietetics Practice: Community Nutrition 401;Level 4;8231;DIE316, DIE326;None;Deliver comprehensive community nutrition services autonomously.;Community clinic placement, school feeding monitoring, and project reports.;20
DIE402;Dietetics Practice: Foodservice Management 402;Level 4;8231;DIE312, DIE322;None;Manage operational budgets and foodservice logistics in major hospitals.;Food service management, inventory control, staff management, and food safety audits.;20
DIE403;Dietetics Practice: Clinical Dietetics 403;Level 4;8231;DIE313, DIE323;None;Deliver advanced therapeutic and pediatric nutritional care in ICUs.;Critical care ward placement, intensive care tube feeding, and case reviews.;20
DIE404;Dietetics Practice: Research 404;Level 4;8231;DIE317, NUT344;None;Execute a scientific research study and compile a research report.;Data collection, qualitative and quantitative analysis, and research report.;10
DIE414;Dietetics Research Report 414;Level 4;8231;None;None;Execute a scientific research study and present a thesis dissertation.;Supervised research, data collection, statistics, and dissertation report.;15
DIE425;Ethics and Practice Management (Dietetics) 425;Level 4;8231;None;None;Examine HPCSA guidelines, practice management, and professional liability.;Dietetics business model, HPCSA ethics, professional negligence, and records.;10
DIE801;Dietetics Master's Thesis 801;Master's;8721;None;None;Execute independent research on a clinical nutrition topic.;Supervised execution of an original Master's thesis.;180
DIE802;Dietetics Master's Thesis 802;Master's;8721;None;None;Defend and publish dietetics research.;MSc Diet dissertation completion and defense.;9
DIE803;Dietetics Master's Mini-Thesis 803;Master's;8721;None;None;Execute dietetics research of a limited scope and compile a mini-thesis.;Independent mini-thesis research and report.;120
