Programme Name;Programme Code;Abbreviation;Duration (Years)
Bachelor of Arts in Sport, Recreation and Exercise Science;8061;BA (Sport, Recreation and Exercise Science);3
Bachelor of Science in Sport and Exercise Science;8051;BSc (Sport and Exercise Science);3
Bachelor of Community Development;8415;B (Community Development);4
Bachelor of Science in Dietetics;8231;BSc (Dietetics);4
Bachelor of Science in Occupational Therapy;8111;BSc (Occupational Therapy);4
Bachelor of Science in Physiotherapy;8211;BSc (Physiotherapy);4
Bachelor of Nursing (Mainstream - Option 1);8312;BNurs;4
Bachelor of Nursing (Extended Curriculum Programme - Option 1);8313;BNurs (ECP);5
Bachelor of Nursing (Mainstream - Option 2);8311;BNurs;4
Bachelor of Nursing (Extended Curriculum Programme - Option 2);8310;BNurs (ECP);5
Bachelor of Science in Complementary Health Sciences;8104;BSc CHS;3
Bachelor of Science in Complementary Health Sciences (Chinese Medicine and Acupuncture);8106;BSc CHS (CMA);3
Bachelor of Social Work;8411;B (Social Work);4
Bachelor of Social Work (Extended Curriculum Programme);8560;B (Social Work) (ECP);5
Bachelor of Complementary Medicine in Chinese Medicine and Acupuncture;8344;B (Complementary Medicine) (Chinese Medicine and Acupuncture);2
Bachelor of Complementary Medicine in Naturopathy;8334;B (Complementary Medicine) (Naturopathy);2
Bachelor of Complementary Medicine in Phytotherapy;8324;B (Complementary Medicine) (Phytotherapy);2
Bachelor of Complementary Medicine in Unani Tibb Medicine;8354;B (Complementary Medicine) (Unani- Tibb Medicine);2
Bachelor of Arts Honours in Biokinetics;8021;BAHons (Biokinetics);1
Bachelor of Science Honours in Biokinetics;8024;BScHons (Biokinetics);1
Bachelor of Arts Honours in Psychology (Full-Time);8753;BAHons (Psychology);1
Bachelor of Arts Honours in Psychology (Part-Time);8751;BAHons (Psychology);2
Bachelor of Arts Honours in Sport, Recreation and Exercise Science;8013;BAHons (Sport, Recreation and Exercise Science);1
Postgraduate Diploma in Child and Family Studies;8849;PGDip (Child and Family Studies);1
Postgraduate Diploma in Health Services Management (Full-Time);8301;PGDip (Health Services Management);1
Postgraduate Diploma in Health Services Management (Part-Time);8302;PGDip (Health Services Management);2
Postgraduate Diploma in Interprofessional Education in Health;8030;PGDip (Interprofessional Education in Health);1
Postgraduate Diploma in Midwifery;8303;PGDip (Midwifery);1
Postgraduate Diploma in Nursing Education;8070;PGDip (Nursing Education);1
Postgraduate Diploma in Primary Care Nursing (Full-Time);8305;PGDip (Primary Care Nursing);1
Postgraduate Diploma in Primary Care Nursing (Part-Time);8306;PGDip (Primary Care Nursing);2
Postgraduate Diploma in Public Health;8846;PGDip (Public Health);2
Postgraduate Diploma in Sport for Development;8020;PGDip (Sport for Development);1
Master of Psychology;8815;M (Psychology);1
Master of Science in Biokinetics (Thesis);8778;MSc (Biokinetics);1
Master of Science in Nutrition (Thesis);8784;MSc (Nutrition);1
Master of Public Health in Nutrition;8789;MPH (Nutrition);1
Master of Science in Occupational Therapy (Thesis);8118;MSc (Occupational Therapy);1
Master of Science in Physiotherapy (Thesis);8218;MSc (Physiotherapy);1
Master of Nursing (Structured);8863;MNurs;1
Master of Nursing (Thesis);8868;MNurs;1
Master of Public Health (Structured);8801;M (Public Health);1
Master of Public Health (Thesis);8802;M (Public Health);1
Master of Social Work (Thesis);8828;M (Social Work);1
Master of Philosophy in Sport for Development;8651;MPhil (Sport for Development);1
Master of Health Data Analytics;8787;M (Health Data Analytics);1
Master of Arts in Child and Family Studies (Thesis);8851;MA (Child and Family Studies);1
Master of Arts in Biokinetics (Thesis);8777;MA (Biokinetics);1
Master of Arts in Sport, Recreation and Exercise Science (Thesis);8782;MA (Sport, Recreation and Exercise Science);1
Doctor of Philosophy (Child and Family Studies);8950;PhD;2
Doctor of Philosophy (Nursing);8950;PhD;2
Doctor of Philosophy (Occupational Therapy);8950;PhD;2
Doctor of Philosophy (Physiotherapy);8950;PhD;2
Doctor of Philosophy (Psychology);8950;PhD;2
Doctor of Philosophy (Public Health);8950;PhD;2
Doctor of Philosophy (Social Work);8950;PhD;2
Doctor of Philosophy (Sport, Recreation and Exercise Science);8950;PhD;2
