Module Code;Module Name;Year Level;Programmes;Pre-requisite;Co-requisite;Learning Outcome;Main Content;Credits
ADP120;Clinical Oral Health 120;Level 1;5211;None;None;Describe and illustrate the role of the professional oral hygienist.;"Patient reception and etiquette; dental team concepts; infection control; clinical exposure.";20
AFR120;Introduction to Afrikaans (Dentistry) 120;Level 1;5101, 5211;None;None;Communicate basic clinical terminology and hold conversations with patients in Afrikaans.;"Afrikaans in context; dental clinic vocabulary; basic grammar; reading, writing, speaking, and understanding.";10
ALD110;Academic Literacy for Dentistry 110;Level 1;5101, 5211;None;None;"Explain the consequence of lifestyle choices; generate academic text in oral health.";"Academic text generation; report/essay writing; study strategies; Greek/Latin roots; digital media.";10
ANS403;Anaesthesiology and Sedation 403;Level 4;5101;None;None;Examine and administer local anaesthetics and conscious sedation techniques safely.;"Pharmacology of local anaesthetics; sedation agents; inhalation and intravenous techniques.";10
ARS300;Applied Research 300;Level 3;5211;None;None;Carry out a basic research project in oral health and present findings.;"Research methodology; proposal development; data collection and analysis.";20
ART510;Advanced Restorative Techniques 510;Level 5;5101;None;None;"Diagnose and manage occlusal disharmony; construct splints; prepare teeth.";"Articulators and occlusions; splints; veneers; inlays/onlays; crowns; post & cores.";10
BDP220;Basis of Disease Processes 220;Level 2;5101;None;None;Explain the different causes (aetiology) of diseases, including microorganisms and viruses.;"Infective aetiological factors; cellular injury; viral pathogenesis; immune responses; healing.";15
CHE118;Chemistry for Dentistry 118;Level 1;5101;None;None;Apply chemical principles to qualitatively engage with real-world dental phenomena.;"Structure and bonding; periodic reactivity; mass/energy balance in reactions; lab measurements.";15
CLD100;Clinical Dentistry 100;Level 1;5101;None;None;"Identify oral tissues in health and disease; describe tooth accumulated materials.";"Anatomy of the periodontium; mouth in health and disease; tooth morphology; infection control.";15
CLD201;Clinical Dentistry 201;Level 2;5101;CLD100;None;Demonstrate clinical periodontal technique skills and manage dental emergencies.;"Patient examinations (extra/intra oral); record keeping; periodontal instrument design; emergency medicine.";40
CLP100;Clinical Practice 100;Level 1;5211;None;None;Apply basic clinical hygiene practices and assist in oral hygiene clinics under supervision.;"Infection control; basic instrumentation; clinical observation; ergonomic positioning.";15
CLP202;Clinical Practice 202;Level 2;5211;None;None;"Perform basic dental assessments; identify scaling instruments.";"Microbiology; infection control; scaling instruments & technique; medical emergencies.";30
CLP300;Clinical Practice 300;Level 3;5211;None;None;Perform independent clinical hygiene duties, scaling, polishing, and patient management.;Advanced clinical rotations, non-surgical periodontal therapy, patient care records.;40
CON200;Conservative Dentistry 200;Level 2;5101;None;None;Perform dental restorations and cavity preparations on simulators.;"Cavity preparations; dental amalgam and composite resin properties; simulation exercises.";25
CON201;Clinical Oral Health II;Level 2;5211;None;None;"Describe development of occlusion and malocclusion; perform orthodontic hygiene procedures.";"Development of occlusion; biology of tooth movement; clinical orthodontic hygiene.";15
CON311;Conservative Dentistry 311;Level 3;5101;CON200;None;Diagnose and treat patients clinically for basic restorative dentistry.;"Clinical operative practice; patient care; ethics and social media in a clinical context.";25
CON401;Conservative Dentistry 401;Level 4;5101;None;None;Manage a patient comprehensively and holistically using clinical reasoning.;"Advanced restorative dentistry; principles of occlusion; abrasion/attrition/erosion; bonding.";25
CPM500;Comprehensive Patient Management 500;Level 5;5101;None;None;Perform comprehensive, integrated, independent clinical dental practice at professional level.;Integration of diagnosis, clinical approaches, treatment plans, advanced imaging, community engagement.;160
DRE411;Dental Research 411;Level 4;5101;None;None;"Define a research problem; write a literature review; prepare a viable research protocol.";"Selected research topics; proposal writing; data collection; final report writing.";10
END400;Endodontics 400;Level 4;5101;None;None;"Diagnose and treat endodontically involved teeth; use hand and rotary instruments.";"Endodontic treatment; rotary instrumentation; conservative restoration; ethics of tool fracture.";10
EPM312;Ethics and Practice Management (BOH) 312;Level 3;5211;None;None;"Explain professional ethics; manage oral hygiene practice.";"Practice management; operational guidelines; billing; regulatory framework.";10
HBO101;Human Biology for Oral Health 101;Level 1;5211;None;None;Explain normal structure and function of the human body, especially head and neck.;"Introduction to systemic anatomy; physiology; detailed head and neck anatomy.";10
HBO102;Oral Biology for Oral Health 102;Level 1;5211;None;None;Describe microscopic and macroscopic anatomy of oral tissues.;"Embryology of face & jaws; dental histology; tooth morphology; oral mucosa.";10
HDP111;Primary Health Care 111;Level 1;5101;None;None;Explain the links between health, development and primary health care.;"Origins and features of comprehensive PHC; primary health care approach; interdisciplinary care.";5
HDP124;Health, Development and Primary Health Care 124;Level 1;5211;None;None;Explain concepts of health, development, and primary health care.;"System linkages; primary health care origin; interdisciplinary collaboration.";5
HPD111;Interdisciplinary Health Promotion 111;Level 1;5101, 5211;None;None;Design and evaluate community-based health promotion interventions.;"Health promotion theories; communication strategies; service learning; community surveys.";10
HSY300;Health Systems (BOH) 300;Level 3;5211;None;None;Compare and analyze national and international health delivery models.;"Types of health systems; health financing; policy structures; oral health strategies.";5
HUB105;Human Biology 105;Level 1;5101;None;None;Demonstrate a comprehensive understanding of human anatomy and physiology.;"Systemic anatomy and physiology; head and neck embryology, osteology, and neurovasculature.";40
HUB205;Human Biology 205;Level 2;5101;None;None;Demonstrate in-depth systemic physiological and advanced neuro-anatomical knowledge.;"Systemic physiology; nervous system functioning; cardiac, respiratory, renal, and gastrointestinal control.";40
LOS200;Local Anaesthesia and Oral Surgery 200;Level 2;5211;None;None;Perform safe local anaesthetic injections and perform minor surgical procedures.;"Anatomical landmarks; pharmacology of local anaesthetics; extraction techniques.";10
LSC141;Life Sciences 141;Level 1;5101;None;None;Identify the major classes of biological molecules and cellular structures.;"Macromolecules; DNA and RNA structure; chemical and physical bonds; cell biology.";15
MFS300;Maxillofacial and Oral Surgery 300;Level 3;5101;None;None;Demonstrate basic skills in oral surgical diagnostics and simple extractions.;"Surgical instrumentation; local anaesthesia; extraction techniques; post-op care.";10
MFS400;Maxillofacial and Oral Surgery 400;Level 4;5101;None;None;Examine and manage patients with oral surgical trauma, infections, and emergencies.;"Trauma management; facial infections; surgical endodontics; surgical case studies.";20
MHD223;Measuring Health and Disease 223;Level 2;5211;None;None;Apply basic epidemiological indices to measure oral diseases.;"Epidemiology principles; oral health indices (DMFT); basic biostatistics; surveys.";10
MHD320;Measuring Health and Disease 320;Level 3;5101;None;None;Design community oral health surveys and analyze epidemiological data.;"Epidemiology principles; biostatistics; research ethics; survey design and analysis.";10
