Programme Name;Programme Code;Abbreviation;Duration (Years)
Bachelor of Dental Surgery;5101;BDS;5
Bachelor of Oral Health;5211;B (Oral Health);3
Postgraduate Diploma in Dentistry;5333;PGDip;2
Master of Science (Thesis);5800;MSc;2
Master of Science (Structured);5807;MSc;2
Master of Science (Clinical);5801;MSc;2
Master of Dental Surgery (Structured);5881;MDS;4
Master of Dental Surgery (Clinical);5811;MDS;4
Doctor of Philosophy;5901;PhD;2
Doctor of Dentistry in Odontology;5911;DDent (Odontology);2
