UNIVERSITY OF THE WESTERN CAPE;;;;;;;;
Faculty of Economic and Management Sciences — 2026 Comprehensive Module Directory;;;;;;;;
Grounded in the 2026 Faculty Calendar | Total: 110 Academic Modules Covered;;;;;;;;
;;;;;;;;
Module Code;Module Name;Year Level;Programmes;Pre-requisite;Co-requisite;Learning Outcome;Main Content;Credits
ACC130;Introduction to South African Accounting 130;Level 1;1751, 1753, 1762;None;QLC141 or QSF131;Record business transactions and prepare sole trader financial statements.;Accounting equation, double entry system, cash vs accrual, ledgers, reconciliations, sole trader statements.;15
ACC132;Introduction to South African Accounting 132;Level 1;1753;None;None;Record transactions and prepare accounting books for sole traders.;Double-entry bookkeeping, posting to ledgers, basic trials, and trial balance preparation.;15
ACC239;Accounting Information Applications 239;Level 2;1021, 1762;AIS111;None;Implement computerized accounting packages and spreadsheets for financial analysis.;Financial modeling, accounting database management, audit trails, and reporting software.;15
ACF231;Analytical and Critical Thinking 231;Level 2;1751, 1753;ALC131/ALC132;None;Analyze argument structures, identify logical fallacies, and develop logical reasoning.;Valid arguments, fallacies, methods of reasoning, critical analysis of business cases.;15
ACF232;Analytical and Critical Thinking 232;Level 2;1751, 1753;ALC131/ALC132, ACF231;None;Apply advanced reasoning and critical reading to evaluate complex business texts.;Advanced logic, structural reasoning, text evaluation, and argumentative writing.;15
AIS111;Accounting Information Systems 111;Level 1;1021, 1762;None;None;Utilize Microsoft Office suite and understand the role of IT as a business tool.;"MS Excel, Access, Word, PowerPoint; process modeling, information security, e-commerce basics.";10
ALB131;Academic Literacy for Business 131/132;Level 1;1751, 1753, 1762;ALB131 for ECP students only;ALB131 for ECP students only;Demonstrate reading and writing strategies, keyboard skills, file and spreadsheet management.;Keyboard proficiency, text editing, spreadsheet formulas, presentation creation, file organization.;15
ALC130;Academic Literacy for Commerce 130;Level 1;1761;None;None;Apply listening, critical reading, and essay-writing strategies in a commercial context.;Active listening, critical reading, assignment writing, referencing and citations, academic reports.;15
ALC131;Academic Literacy for Commerce 131/132;Level 1;1008, 1751, 1021, 1753, 1175, 7211, 1011;ALB131 for 4-year students only;None;Apply active reading, summarising, note-taking, and structured essay writing.;Listening strategies, group dynamics, critical reading of academic journals/news, academic writing.;15
ALF111;Commercial Literacy for Accountants 111;Level 1;1021, 1762;None;None;Demonstrate basic commercial literacy, critical thinking, business communication, and ethical decision-making.;Critical reading, business writing, terminology, professional ethics, corporate moral obligations.;10
ALF211;Commercial Literacy for Accountants 211;Level 2;1021, 1762;FIA132/FIA134, ALF111;None;Integrate technical accounting disciplines and use IT tools for commercial decision-making.;"Integration of financial accounting, auditing, cost accounting, and taxation; analytical tools.";15
ALF311;Commercial Literacy for Accountants 311;Level 3;1021, 1762;ALF211, FIA201, TAX201, MAF201, AUD201;None;"Apply corporate governance, citizenship, and social justice to complex business cases; write reports.";Risks in business industries, ethical decision-making, corporate governance, integrated annual reports.;15
AUD201;Auditing 201;Level 2;1021, 1762;FIA132/FIA134, ALF111;None;Apply internal controls theory and evaluate professional auditing standards.;Audit regulatory environment, professional ethics, corporate governance, internal control frameworks.;20
AUD241;Auditing 241;Level 2;1175, 1753;FIA141/FIA131, ALC131/ALC132;None;Explain the role, regulation, and ethical guidelines of the auditing profession.;Auditing profession background, ethical codes, professional standards, and internal controls.;10
AUD242;Auditing 242;Level 2;1175, 1753;AUD241;None;Apply auditing procedures and evaluate internal controls in business cycles.;Auditing cycles, transaction processing controls, audit evidence, and reporting.;10
AUD322;Auditing 322;Level 3;1021, 1753, 1762;AUD201;None;Assess audit risks, design audit procedures, and formulate audit opinions.;Risk assessment, audit evidence, substantive testing, audit reporting, computer auditing.;30
BET242;Business Ethics 242;Level 2;1175, 1008, 1751;ALC131/ALC132;None;Resolve ethical dilemmas in business environments using diverse value systems.;Ethics in business, African values, Western/religious ethical systems, corporate responsibility.;10
CFM221;Corporate and Financial Management 221;Level 3;1021, 1753;MAC234;None;Develop and evaluate business strategies, risk management, and governance models.;Entity strategy, risk management plans, governance models, and financial goal setting.;10
CPL211;Company Law 211;Level 2;1175, 1021, 1753;None;None;Apply South African Company Law rules to the formation and management of entities.;Companies Act, corporate formation, shares, shareholder rights, director duties, close corporations.;10
CSA211;Case Study Analysis 211;Level 2;1751;ALC131/ALC132;None;Identify issues in business cases and generate strategic alternatives.;Case analysis tools, data evaluation, alternative solutions, and action planning.;15
ECO101;Introduction to Microeconomics 101;Level 1;1761, 1762;QSC141 or QSC142;None;Demonstrate basic microeconomic theory and microeconomic systems workings.;Demand and supply, elasticities, efficiency, consumer theory, market structures, market failure.;10
ECO102;Introduction to Macroeconomics 102;Level 1;1761, 1762;None;QSC141 or QSC142;Explain macroeconomic relationships and sectors of the economy.;Circular flow, aggregate demand and supply, inflation, money and banking, fiscal and monetary policies.;10
ECO151;Introduction to Microeconomics 151;Level 1;1008, 1021, 1175, 7211, 1033;QSC131/QSC132/MAM126/MAM127/QSA131/QSA132;None;Explain demand and supply, elasticity, and utility maximization in market systems.;Consumer and firm behaviors, market structures, profit maximization, market failures.;10
ECO152;Introduction to Macroeconomics 152;Level 1;1008, 1751, 1021, 1753, 1175, 7211;None;QSC131/132/MAM126/127/QSA131/132;Analyze aggregate economic variables and the role of monetary and fiscal policies.;National accounts, money, banking, aggregate demand/supply model, unemployment, inflation, exchange rates.;10
ECO231;Microeconomics 231;Level 2;1008, 1751, 7211, 1033;ECO241 or ECO151;None;Analyse consumer and producer behaviors under competitive and monopoly environments.;Production and cost theories, perfect competition, pricing with market power, monopoly.;10
ECO232;Macroeconomics 232;Level 2;1008, 1751, 7211, 1033;ECO133/ECO134 or ECO152;None;Build macro economic models to analyze inflation, unemployment, and domestic policy impact.;Goods and financial markets, IS-LM model, labor market dynamics, AS-AD model, inflation.;10
ECO235;Intermediate Mathematical Economics 235;Level 2;1008, 1751, 7211, 1033;ECO241 or ECO151;None;Apply calculus and matrix algebra to solve microeconomic optimization and macroeconomic equilibria.;Differentiation in production/consumption, matrix systems, integral calculus in economic functions.;10
ECO242;Introductory Econometrics 242;Level 2;1008, 1751, 7211, 1033;ECO241 or ECO151 and ECO152;ECO231;Formulate and estimate single variable regression models and interpret data using software.;Theoretical background, regression analysis, functional forms, computer quantitative software usage.;10
ECO311;Intermediate Econometrics 311;Level 3;1008, 1751, 7211;ECO242;None;Perform multivariate regression analysis and diagnostic tests on economic data.;Multivariate regressions, inference tests, dummy variables, classical linear regression model violations.;15
ECO331;Microeconomics 331;Level 3;1008, 1751, 7211;ECO231;None;Analyse market structures and strategic interactions using game theoretic models.;General equilibrium, monopolistic competition, oligopoly models, game theory, asymmetric information.;15
ECO332;Macroeconomics 332;Level 3;1008, 1751, 7211;ECO232;None;Evaluate monetary, fiscal, and exchange rate policies under open economy growth frameworks.;Long-run economic growth, capital and technology, inflation expectations, goods/financial openness, exchange rates.;15
ECO334;Public Economics 334;Level 3;1008, 1751, 7211;ECO231 and ECO232;None;Analyse public sector composition and market failures that justify government intervention in SA.;Market failure, public goods, bureaucratic failure, taxation principles, fiscal policy, national budget.;15
ECO335;International Trade Economics 335;Level 3;1008, 1751, 7211;ECO231 and ECO232;None;Explain and evaluate standard trade models and regional economic integration.;Ricardian, Heckscher-Ohlin models, tariff and non-tariff barriers, WTO role, African integration.;15
ECO336;Development Economics 336;Level 3;1008, 1751, 7211;ECO232;None;Analyse poverty, inequality, and agrarian changes in developing nations.;Poverty metrics, dual economy models, agrarian reform, capital flows, interstate groupings.;15
FIA131;Financial Accounting 131;Level 1;1021, 1753;ACC132;None;Prepare sole trader financial statements and reconcile control accounts.;Financial statements of a sole trader, control account reconciliations, adjustments.;15
FIA132;Financial Accounting 132;Level 1;1021, 1753;FIA131;None;Prepare financial statements of various business entities, including companies and non-profits.;Non-current assets, company accounting, non-profit organizations, statement of cash flows, statement analysis.;15
FIA133;Financial Accounting 133;Level 1;1762;None;None;Understand accounting principles and record basic financial events.;Basic accounting concepts, entry systems, general ledger, and year-end trial balances.;15
FIA134;Financial Accounting 134;Level 2;1762;FIA133;None;Prepare company accounts and elementary cash flow statements.;Company accounting, ledger reporting, statement of cash flows, elementary statement analysis.;15
FIA141;Financial Accounting 141;Level 1;1008, 1751, 1175, 7211;None;QSF132, QSC131/132, QSA131, MAM126;Apply the accounting equation and record business transactions on double-entry system.;Accounting concepts, ledger postings, trial balances, bank reconciliations, sole trader adjustments.;15
FIA142;Financial Accounting 142;Level 1;1008, 1175, 1033;FIA141;None;Prepare and present financial statements for close corporations and companies.;Company financial statements, cash flows, notes, CC reporting, and statement analysis.;10
FIA144;Financial Accounting 144;Level 1;1761, 1762;None;QSC141/QSC142;Record accounting transactions and prepare basic financial reports over a year.;Accrual accounting, inventory ledger systems, year-end adjustments, trial balance.;15
FIA145;Financial Accounting 145;Level 2;1761, 1762;FIA144, ALC130, QSC141/142;None;Prepare financial statements with notes for partnerships and close corporations.;Advanced adjustments, partner accounts, close corporation financial statements and notes.;10
FIA201;Financial Accounting 201;Level 2;1021, 1762;FIA132/FIA134;None;Prepare standard and group financial reports in accordance with IFRS and IFRS for SMEs.;IFRS and IFRS for SMEs, group consolidated financial statements, accounting processes, and ethics.;30
FIA214;Financial Accounting 214;Level 2;1021, 1753;FIA131, FIA132 (55%);None;Recognize, measure, and disclose business transactions under GAAP.;Asset valuation, revenue recognition, corporate transaction disclosures, and financial reporting.;20
FIA225;Financial Accounting 225;Level 2;1021, 1753;FIA214;None;Apply advanced GAAP standards for reporting entity transactions and events.;Generally Accepted Accounting Practice, liabilities and equity, financial statement notes.;20
FIA241;Financial Accounting 241;Level 2;1175, 1008, 1751, 1033;FIA141, FIA142/FIA131, FIA132;None;Prepare company financial statements including disclosure notes and cash flows.;Preparation of company annual financial statements, notes, adjustments, and analysis.;20
FIA242;Financial Accounting 242;Level 2;1175, 1008, 1751, 1033;FIA241/FIA214;None;Analyse company transactions and calculate the effects of changes in policy and estimates.;Company transaction analysis, changes in accounting policy and estimates, group accounts introduction.;20
FIA301;Financial Accounting 301;Level 3;1021, 1762;FIA225/FIA201;None;Perform advanced group consolidations and prepare reports on business risk.;Advanced group statements, joint ventures, foreign operations, risk analysis, and integrated reporting.;40
FIA324;Financial Accounting 324;Level 3;1021, 1753;FIA225;None;Apply complex IFRS requirements to record and disclose corporate group transactions.;"Advanced separate and consolidated financial statements under IFRS; corporate transactions.";60
FIA341;Financial Accounting 341;Level 3;1175, 1008, 1751;FIA241, FIA242/FIA214, FIA225;None;"Prepare financial statements in terms of IFRS and IFRS for SMEs; write risk reports.";IFRS standards, financial instruments, leases, PPE, provisions, risk and performance reports.;30
FIA342;Financial Accounting 342;Level 3;1175, 1008, 1751;FIA341;None;Prepare separate and consolidated group financial statements under IFRS.;IFRS group consolidations, parent-subsidiary relations, intra-group transactions, minority interests.;30
FIM242;Financial Management 242;Level 2;1175;None;None;Evaluate financial strategies, capital structure, and risk and return profiles.;Strategic goal setting, capital structure, cost of capital, risk and return principles.;10
FIM342;Financial Management 342;Level 3;1175;FIM242;None;Apply advanced valuation methods, capital budgeting, and working capital management.;Corporate valuations, capital budgeting techniques, dividend policy, working capital management.;15
FIN211;Principles of Finance 211;Level 2;1008, 1751, 1761, 7211;ECO151 and ECO152;None;Apply time value of money, risk-return trade-offs, and cash flow principles to financial decisions.;Financial markets and instruments, TVM, discounting principle, liquidity, hedging, portfolio diversity.;15
FIN212;Principles of Investment 212;Level 2;1008, 1751, 1761, 7211;ECO151 and ECO152;None;Analyse risk and return profiles of equity, debt, and derivative securities.;Investment environments, security analysis, portfolio risk, asset performance indicators.;15
FIN213;Introductory Statistics for Financial Analysis 213;Level 2;1008, 1751, 1761;BUS132;None;Apply statistical sampling, probability, and correlation analysis to financial data.;Probability distributions, statistical hypothesis testing, financial time series, correlations.;10
FIN305;Financial and Analytical Techniques 305;Level 3;1008, 1751, 1761, 7211;MAN234/MAN235 or FIN212/FIN213;MAN312;Formulate and optimize investment portfolios using linear programming and computer simulation.;Hypothesis testing, regression, Markowitz optimization models, technical analysis, SML, CAPM.;15
FIN308;Investment Analysis 308;Level 3;1008, 1751, 1761, 7211;FIN211 and FIN212;None;Analyse financial derivatives and apply options pricing models.;Derivative markets, swaps, futures, options pricing, synthetic strategies, hedging.;15
FIN311;Corporate Finance 311;Level 3;1008, 1751, 1761, 7211;FIN211 and FIN212;None;Analyse capital structures, corporate payouts, and corporate mergers.;Capital budgeting, dividend policy, debt vs equity structure, mergers and acquisitions, capital costs.;15
FIN321;International Finance 321;Level 3;1008, 1751, 1761, 7211;FIN211 and FIN212;None;Evaluate balance of payments, currency risks, and foreign exchange markets.;International monetary architecture, BOP accounting, foreign exchange determination, parity conditions.;15
GOV132;South African Politics and Government 132;Level 1;1011, 8415;None;None;Explain the constitutional framework, democratic transition, and public management in South Africa.;Democratic transition, political parties and elections, state-economy interface, constitutional framework.;15
IFS131;Introduction to Information Systems 131;Level 1;1008, 1761, 1021, 1175, 7211, 2201;None;None;Explain the roles, components, and functions of information systems in modern organizations.;Hardware and software concepts, networking basics, internet/intranets, transactional databases, and system security.;15
IFS140;Introduction to Business Computing 140;Level 1;1033;None;IFS131;Develop software specifications and evaluate business computational frameworks.;Programming fundamentals, file systems, computing architectures, systems life-cycle models.;20
IFS231;Business Systems Analysis 231;Level 2;1008, 1751, 1761, 1033;IFS131/IFS132, QSC131/QSC132/MAM126/MAM127, ALC131/ALC132;None;Analyse and model complex business requirements and business processes.;Requirements elicitation, business process modeling notation (BPMN), UML modeling, value delivery analysis.;20
IFS233;Systems Delivery Management 233;Level 2;1008, 1751, 1761, 7211;IFS231;None;Apply software development life cycle methodologies and project management concepts.;SDLC frameworks, agile and waterfall methodologies, project scope, time, budget, and risk management.;20
IFS242;Databases and Data Modelling 242;Level 2;1033;IFS131/IFS132, IFS140, QSC131/132, ALC131/132;None;Design and implement relational databases using entity-relationship modeling.;Database modeling, normalization, SQL database creation, querying, transactional security, and POPI Act compliance.;20
IFS244;Business Information Systems 244;Level 2;1033;IFS242;None;Develop and integrate enterprise-wide business information applications.;ERP, supply chain integration, customer relationship systems, decision support tools, business data streams.;20
IFS315;Emerging Trends in Information Systems 315;Level 3;1033;IFS244;None;Evaluate technological innovations and emerging digital platforms in business context.;Cloud technologies, artificial intelligence, big data platforms, blockchain, mobile money, and tech policies.;30
IFS316;Information Systems Strategic Projects 316;Level 3;1033;IFS233, IFS244;None;Evaluate and formulate corporate strategies for ICT innovation and value creation.;ICT strategy alignment, corporate IT governance, digital business models, product innovation design.;30
IFS317;Information Systems Project Implementation 317;Level 3;1033;IFS315;None;Implement integrated business intelligence and data analytics tools on real-world datasets.;Data mining, business analytics pipelines, predictive modeling, data visualization, and reporting.;30
IFS325;Advanced Computing 325;Level 3;1033;None;None;Analyze advanced system design patterns and software architectural platforms.;Service-oriented architecture, microservices, system integrations, APIs, and cloud infrastructures.;30
IFS361;Information Systems Strategy 361;Level 3;1033;IFS361;None;Formulate strategic plans for information technology alignment with business goals.;IT governance frameworks, strategic planning models, risk management, and competitive analysis.;30
IPS131;Introduction to Psychology in the Workplace 131;Level 1;1008, 1751, 1753, 1175;None;None;Explain individual differences, human learning, and perception within industrial settings.;Workplace psychology introduction, personality theories, learning, perception, motivation theories.;15
IPS151;Introduction to Psychology in the Workplace 151;Level 1;1761, 1762;None;None;Understand the basic principles of industrial psychology and workplace behaviors.;Introduction to personality, team dynamics, workplace attitudes, and emotional intelligence.;15
IPS231;Career Psychology 231;Level 2;1008, 1751, 1761, 7211, 1011, 2101;IPS132/IPS131;None;Analyse career stages, organizational entry, and career management frameworks.;Career development stages, career theories, work-family balance, career enrichment strategies.;10
IPS232;Psychometrics 232;Level 2;1008, 1751, 1761, 7211, 1011, 2101;IPS131/132, BUS131/132 or STA141/142;None;Explain psychological testing, assessment design, and psychometric validation models.;Psychometric assessment foundations, test reliability, validity, test construction, fair testing practices.;10
IPS233;Human Resource Management 233;Level 2;1008, 1751, 1761, 7211, 1011, 2101;IPS132/IPS131;None;Apply strategic human resource planning, recruitment, selection, and performance appraisals.;HRM cycle, job analysis, recruitment strategies, employee orientation, compensation and benefits.;10
IPS234;Labour Relations 234;Level 2;1008, 1751, 1761, 7211, 1011, 2101;IPS132/IPS131;None;Evaluate labor relations frameworks, dispute resolution processes, and trade union legislation in SA.;Socio-legal context of labor relations, LRA, basic employment conditions, collective bargaining, strikes.;10
IPS331;Organisational Behaviour 331;Level 3;1008, 1751, 1761, 7211, 1011, 2101;Any 3 of: IPS231, IPS232, IPS233, IPS234;None;Examine group dynamics, team building, organizational culture, and systemic motivation models.;Organizational development, systems theory, leadership models, team communication, tech integration.;15
IPS333;Research Methodology 333;Level 3;1008, 1751, 1761, 7211, 1011, 2101;Any 3 of: IPS231, IPS232, IPS233, IPS234;None;Formulate scientific research designs and apply quantitative and qualitative data collection tools.;Scientific method, research problems, research designs, data collection, sampling, and research ethics.;15
IPS335;Consumer Behaviour 335;Level 3;1008, 1751, 1761, 7211, 1011, 2101;Any 3 of: IPS231, IPS232, IPS233, IPS234;None;Analyse psychological and socio-cultural factors that influence consumer purchase decisions.;Consumer decision-making process, consumer psychology, perception, motivation, reference groups.;15
IPS337;Training Management 337;Level 3;1008, 1751, 1761, 7211, 1011, 2101;Any 3 of: IPS231, IPS232, IPS233, IPS234;None;Design and evaluate outcomes-based workplace training and skill development programs.;SDA legislation, skills development levies, training cycle, needs analysis, training evaluation models.;15
MAC234;Management Accounting 234;Level 2;1021, 1753;FIA131, FIA132, ALC131/132;None;Apply cost-volume-profit analysis and basic cost allocation methods.;Cost concepts, CVP analysis, job costing, process costing, cost behaviors.;10
MAC241;Management Accounting 241;Level 2;1175;FIA141, FIA142, QSC131/QSC132;None;Formulate cost statements and allocate manufacturing overheads.;Job costing, process costing, activity-based costing, joint and by-product costing.;10
MAC341;Management Accounting 341;Level 3;1175;MAC241/MAC234;None;Apply advanced costing systems, variance analysis, and transfer pricing models.;Activity-based costing, standard costing, budgetary control, transfer pricing, divisional performance.;15
MAF201;Management Accounting and Financial Management 201;Level 2;1021, 1762;FIA132/FIA134;None;Apply financial principles to capital budgeting and corporate valuations.;Time value of money, risk and return, equity valuation, capital budgeting, financial analysis.;25
MAF301;Managerial Accounting and Finance 301;Level 3;1021, 1762;MAC234, CFM221/MAF201;None;Formulate capital structures and design performance measurement systems.;Advanced capital budgeting, dividend decisions, performance metrics, risk control, transfer pricing.;40
MAF334;Managerial Accounting and Finance 334;Level 3;1021, 1753;MAC234, CFM221/MAF201;None;Formulate and implement management control systems and analyze cost indicators.;Costing systems, performance indicators, management control, decision-making support.;30
MAN131;Principles of Business Management 131;Level 1;1008, 1751, 1761, 1021, 1753, 1175, 7211, 1011, 8061;Non-EMS: IEB131;None;Explain the role and structures of business functional areas in South Africa.;Systemic overview, business environment, entrepreneurship, functional areas (marketing, HRM, finance).;15
MAN133;Principles of Business Management 133;Level 1;1761, 1762;None;None;Understand the internal and external challenges of South African business operations.;Business environment overview, management functions (planning, leading, organizing), business ethics.;15
MAN201;Entrepreneurship 201;Level 2;1008, 1761, 1011, 8061;None;MAN206;Analyse policies, drivers, and processes that stimulate entrepreneurial action in SA.;Development of entrepreneurship, national policy environment, business plans, opportunity identification.;10
MAN206;Finance for Small and Medium Enterprises 206;Level 2;1008, 1761, 1011, 8061;MAN131 or MAN132;MAN201;Analyse financial requirements over the stages of the SME business lifecycle.;Equity and debt options, government funding, budgeting, cash flow forecasting, working capital control.;10
MAN231;Marketing 231;Level 2;1008, 1751, 1761, 1175, 7211, 1011, 8061;MAN131 or MAN132;None;Apply the marketing mix (7Ps) to design consumer and service-oriented marketing strategies.;Market segmentation, positioning, consumer behaviors, 7Ps framework, customer relations.;10
