Programme Name;Programme Code;Abbreviation;Duration (Years)
Bachelor of Administration;1011;BAdmin;3
Bachelor of Commerce;1008;BCom;3
Bachelor of Commerce (Extended Curriculum Programme - 1751);1751;BCom (ECP);4
Bachelor of Commerce (Extended Curriculum Programme - 1761);1761;BCom (ECP);4
Bachelor of Commerce in Financial Accounting;1175;BCom (Financial Accounting);3
Bachelor of Commerce in Accounting;1021;BCom (Accounting);3
Bachelor of Commerce in Accounting (Extended Curriculum Programme - 1753);1753;BCom (Accounting) (ECP);4
Bachelor of Commerce in Accounting (Extended Curriculum Programme - 1762);1762;BCom (Accounting) (ECP);4
Bachelor of Commerce in Information Systems;1033;BCom (Information Systems);3
Higher Certificate in Economic Development;1403;HCert (Economic Development);1
Advanced Diploma in Accounting;1506;AdvDip (Accounting);1
Advanced Diploma in Public Administration;1605;AdvDip (Public Administration);1
Advanced Diploma in Management (Full-Time);1612;AdvDip (Management);1
Advanced Diploma in Management (Part-Time);1613;AdvDip (Management);2
Advanced Diploma in Finance;1610;AdvDip (Finance);1
Postgraduate Diploma in Finance;1624;PGDip (Finance);1
Postgraduate Diploma in Poverty, Land and Agrarian Studies;1616;PGDip (Poverty, Land and Agrarian Studies);1
Postgraduate Diploma in Accounting;1507;PGDip (Accounting);1
Postgraduate Diploma in Business Administration;1626;PGDip (Business Administration);1
Postgraduate Diploma in Computer Software and Media Application;1627;PGDip (Computer Software and Media Application);1
Bachelor of Administration Honours;1711;BAdmin Hons;1
Bachelor of Commerce (Honours);1701;BCom Hons;1
Bachelor of Commerce Honours in Finance (Full-Time);1721;BCom Hons (Finance);1
Bachelor of Commerce Honours in Finance (Part-Time);1722;BCom Hons (Finance);2
Bachelor of Commerce Honours in Information Systems;1703;BCom Hons (Information Systems);1
Bachelor of Commerce Honours in Human Resources;1709;BCom Hons (Human Resources);1
Bachelor of Commerce Honours in Management;1731;BCom Hons (Management);1
Bachelor of Economics Honours;1781;BEcon Hons;1
Bachelor of Arts Honours;1705;BA Hons;1
Bachelor of Development Studies Honours;1707;BHons (Development Studies);1
Master of Administration (Structured);1817;MAdmin;1
Master of Administration (Thesis);1811;MAdmin;1
Master of Commerce (Structured);1863;MCom;1
Master of Commerce (Thesis);1801;MCom;1
Master of Commerce in Management;1830;MCom (Management);1
Master of Economics (Structured);1878;MEcon;1
Master of Economics (Thesis);1871;MEcon;1
Master of Public Administration (Structured);1851;MPA;1
Master of Development Studies (Structured);1827;M (Development Studies);2
Master of Development Studies (Thesis);1828;M (Development Studies);2
Master of Philosophy in Poverty, Land and Agrarian Studies (Thesis);1843;MPhil (Poverty, Land and Agrarian Studies);1
Master of Philosophy in Poverty, Land and Agrarian Studies (Structured);1843;MPhil (Poverty, Land and Agrarian Studies);1
Master of Arts in Migration Studies;1855;MA (Migration Studies);1
Master of Arts in Political Studies;1853;MA (Political Studies);2
Master of Arts (Structured);1858;MA;1
Master of Arts (Thesis);1857;MA;1
Doctor of Philosophy;1921;PhD;2
