Programme Name;Programme Code;Abbreviation;Duration (Years)
Bachelor of Education in Languages and Social Sciences;4512;BEd (Languages & Social Sciences);4
Bachelor of Education in Languages and Life Orientation;4513;BEd (Languages & Life Orientation);4
Bachelor of Education in Social Sciences and EMS;4514;BEd (Social Sciences & EMS);4
Bachelor of Education in Languages and Mathematics;4515;BEd (Languages & Mathematics);4
Bachelor of Education in Mathematics and Natural Sciences;4516;BEd (Mathematics & Natural Sciences);4
Bachelor of Education in Foundation Phase Teaching;4517;BEd (Foundation Phase Teaching);4
Bachelor of Education in Languages and Life Orientation (ECP);4091;BEd (ECP);5
Bachelor of Education in Mathematics and Natural Sciences (ECP);4092;BEd (ECP);5
BEd SP & FET [Accounting (FET), EMS (SP), & Math (SP)];4401;BEd (Senior Phase & FET);4
BEd SP & FET [Languages (SP & FET) and Life Orientation (SP)];4402;BEd (Senior Phase & FET);4
BEd SP & FET [Languages (SP & FET) and Mathematics (SP)];4403;BEd (Senior Phase & FET);4
BEd SP & FET [Languages (SP & FET) and Social Sciences (SP)];4404;BEd (Senior Phase & FET);4
BEd SP & FET [Math (SP), Math Lit (FET), & Natural Science (SP)];4405;BEd (Senior Phase & FET);4
Bachelor of Education Honours (Full-Time / Part-Time);4115 / 4116;BEd (Hons);1
BEd Honours in Educational Psychology (Full-Time / Part-Time);4117 / 4118;BEd (Hons) (Educational Psychology);1
BEd Honours in Foundation Phase Teaching (Full-Time / Part-Time);4113 / 4114;BEd (Hons) (Foundation Phase Teaching);1
Advanced Diploma in School Leadership and Management;4340;AdvDip (School Leadership & Management);2
Postgraduate Certificate in Education in FET Teaching;4654;PGCE (FET Teaching);1
Postgraduate Diploma in Education (Full-Time / Part-Time);4652;PGDip (Education);1
Postgraduate Diploma in Higher Education in Teaching & Learning;4655;PGDip (Higher Education in T&L);1
PGDip in Technical and Vocational Education & Training (FT / PT);4656;PGDip (TVET);1
Master of Education (Thesis);4801;MEd;1–2
Master of Education in Adult Education and Global Change;4830;MEd (Adult Education & Global Change);2
MEd in Technical and Vocational Education and Training Studies;4820 / 4821;MEd (TVET Studies);1
Doctor of Philosophy;4921;PhD;2
