Module Code;Module Name;Year Level;Programmes;Pre-requisite;Co-requisite;Learning Outcome;Main Content;Credits
  UNDERGRADUATE CORE & TEACHING METHODS MODULES (NQF 5-7);;;;;;;;
AFL211;Afrikaans First Additional Language Literacy Teaching 211;Level 2;4517;None;None;Show knowledge and understanding of First Additional Language development and literacy theories.;"First Additional Language acquisition theories; oral language development; basic vocabulary; emergent reading in FAL.";15
AFL311;Afrikaans First Additional Language Literacy Teaching 311;Level 3;4517;AFL211;None;Show an understanding of the Afrikaans FAL curriculum and different reading and writing approaches.;"CAPS FAL curriculum for the FP; phonic instruction in FAL; designing reading and writing lesson plans; classroom environments.";20
AFP111;Afrikaans Prakties 111;Level 1;4512, 4513, 4515;None;None;Apply practical communication and writing skills in professional Afrikaans.;"General communication; grammar; practical writing for business; comprehension; vocabulary expansion.";15
AFP121;Afrikaans Prakties 121;Level 1;4512, 4513, 4515;None;None;Demonstrate advanced reading and editing skills in professional Afrikaans.;"Practical writing; text analysis; editing; syntax; advanced comprehension.";15
AFR101;Afrikaans Language Acquisition 101;Level 1;4512, 4513, 4515;None;None;Communicate and comprehend basic Afrikaans in social and professional settings.;"Introductory vocabulary; basic grammar; speech structures; reading comprehension.";30
AFR211;Afrikaans 211;Level 2;4512, 4513, 4515;AFN111 & AFN121;None;Analyze modern Afrikaans poetry and linguistic structures.;"Afrikaans poetry; phonology and morphology; introduction to Dutch language.";10
AFR212;Afrikaans 212;Level 2;4512, 4513, 4515;None;None;Analyze Afrikaans drama and prose in historical and contemporary contexts.;"Afrikaans drama and prose; sociolinguistic aspects of Afrikaans.";10
AFR221;Afrikaans 221;Level 2;4512, 4513, 4515;None;None;Critically analyze Dutch literature and historical linguistics.;"Dutch literature of the 19th and 20th centuries; historical grammar.";10
AFR222;Afrikaans 222;Level 2;4512, 4513, 4515;None;None;Apply literary theory to modern Afrikaans texts.;"Selected modern Afrikaans texts; literary theory and critical text analysis.";10
AFR231;Afrikaans 231;Level 2;4512, 4513, 4515;None;None;Develop copy editing and publishing skills in Afrikaans.;Afrikaans copy editing, proofreading, and general publishing practices.;10
AFR241;Afrikaans 241;Level 2;4512, 4513, 4515;None;None;Understand linguistic diversity and lexicography in Afrikaans.;Afrikaans lexicography, dictionaries, and dialectology.;10
AFR243;Afrikaans 243;Level 2;4512, 4513, 4515;None;None;Develop professional translation and interpreting techniques.;"Basic translation theory; practical translation and interpreting (English-Afrikaans).";10
AFR311;Afrikaans 311;Level 3;4512, 4513, 4515;AFR211;None;Critically evaluate historical and modern Afrikaans literature and syntax.;Advanced Afrikaans syntax, literature, and Dutch studies.;10
