Programe name;Programe code;Abbreviation;Duration Years
Bachelor of Laws;7162;LLB;4 years
Bachelor of Laws Extended Curriculum Programme;7172;LLB-ECP;5 years
Bachelor of Arts in Law;7221;BA Law;3 years
Bachelor of Commerce in Law;7211;BCom Law;3 years
Master of Laws (Structured);7801;LLM;1 year full-time / 2 years part-time
Master of Laws (Thesis);7821;LLM;1 year full-time / 2 years part-time
Master of Laws (without specialisation);7822;LLM;1 year
Master of Laws in International Trade, Investment and Business Law;7811;LLM International Trade, Investment and Business Law;1 year full-time
Master of Laws in Legal Pluralism and Family Law (Thesis);7831;LLM Legal Pluralism and Family Law;1 year full-time / 2 years part-time
Master of Laws in Legal Pluralism and Family Law (Structured);7832;LLM Legal Pluralism and Family Law;1 year full-time / 2 years part-time
Master of Philosophy (Structured);7871;MPhil;1 year full-time / 2 years part-time
Master of Philosophy (Thesis);7860;MPhil;1 year full-time / 2 years part-time
Master of Philosophy (without specialisation);7861;MPhil;1 year
Doctor of Laws;7921;LLD;2 years
Doctor of Philosophy;7901;PhD;2 years
Advanced Diploma in Labour Law;7311;AdvDip Labour Law;1 year full-time / 2 years part-time
Postgraduate Diploma in Environmental Law and Management;7712 (FT) / 7713 (PT);PGDip Environmental Law and Management;1 year full-time / 2 years part-time
Postgraduate Diploma in Fintech Law and Regulation;7702 (FT) / 7703 (PT);PGDip Fintech Law and Regulation;1 year full-time / 2 years part-time
Postgraduate Diploma in Labour Law;7701;PGDip Labour Law;1 year full-time / 2 years part-time
Postgraduate Diploma in Public Law;7711;PGDip Public Law;1 year full-time / 2 years part-time
Postgraduate Diploma in Tax Law;7721 (FT) / 7722 (PT);PGDip Tax Law;1 year full-time / 2 years part-time
Higher Certificate in Forensic Examination;7115;HCert Forensic Examination;1 year part-time
