Module Code;Module Name;Year Level;Programmes;Pre-requisite;Co-requisite;Learning Outcome;Main Content;Credits
ACP412;Advanced Law of Civil Procedure 412;4 or 5;LLB 7162, LLB-ECP 7172;CIV302 & CON202;EVI402;"Interpret civil procedure structure in social transformation; compare philosophies; describe historical development; analyze procedural law controversies and construct related arguments.";"Capita selecta including: underlying principles; historical evolution; advanced jurisdictional questions; special procedures; and the impact of the Constitution";10
ACR412;Advanced Law of Criminal Procedure 412;4 or 5;LLB 7162, LLB-ECP 7172;LCP204 & CON202;EVI402;"Interpret criminal procedure concepts under Constitutional influence; compare philosophies; interpret selected controversies; construct defence and prosecutorial arguments; and interpret relationships with human rights.";"Capita selecta including: underlying principles; historical evolution; complex bail questions; plea/sentence bargaining; punishment/sentencing; and the impact of the Constitution";10
ADL311;Administrative Law 311;3 or 4;LLB 7162, LLB-ECP 7172;None;None;"Formulate arguments using administrative law principles and statutes; critically analyse case law; and evaluate public power exercise and its role in Africanisation and Ubuntu.";"Body of law governing public power; court deference; defining administrative action; just administrative action under section 33; PAJA; judicial review; and social transformation";15
ADL431;Advanced Public Law 431;4 or 5;LLB 7162, LLB-ECP 7172;None;None;"Discuss social transformation through Africanisation, decolonisation, and constitutionalisation; analyse and interpret public law fields in relation to the constitution.";"Capita selecta including: constitutional history/theory; Comparative Constitutional Law; minority rights; elections; federalism; language rights; and Indigenous rights";10
ADR431;Alternative Dispute Resolution 431;4 or 5;LLB 7162, LLB-ECP 7172;LAB321;None;"Identify appropriate dispute resolution mechanisms; distinguish between types; explain steps and party roles; and explain mechanisms used in the African context.";"Conciliation; mediation processes; arbitration processes and awards; the role of the mediator and arbitrator; and ADR in the African context";10
ALC131/132;Academic Literacy for Commerce 131/132;1;BCom Law 7211;ALB131 for 4-yr students;None;"Demonstrate use of various listening and note-taking strategies, understanding of group dynamics, and analytical/critical thinking; apply critical and analytical reading skills, write well-constructed assignments/essays, and utilize IT-based productivity tools.";"Listening and note-taking skills; group dynamics skills; critical thinking skills; reading/writing/referencing skills; and digital information literacy";15
BSL100;Basic Skills for Law 100 ECP;1;LLB-ECP 7172;None;None;"Demonstrate note-taking and study methods; apply basic IT skills for law sources; find and summarize legal texts; solve legal problems via primary/secondary sources; and execute basic numerical calculations.";"Basic research skills; legal writing genres (opinions, heads of argument); study skills; information technology; and numeracy skills";15
BSL101;Basic Skills for Law 101;1 or 2;LLB 7162, BA Law 7221, BCom Law 7211;None;None;"Demonstrate note-taking and study methods; apply IT skills for law sources; summarize legal texts; solve legal problems via essays; develop legal arguments; and execute numerical calculations.";"Basic research skills; legal writing (opinions, demand letters); study skills (time management, plagiarism); IT skills; and finding statutes and living customs";15
BUS132;Business Statistics 132;1;BCom Law 7211;QSC131/132 or MAM126;None;"Recognize the importance of statistics in private/public sectors; summarize and visualize basic data; and prepare/interpret simple statistical analyses using computer tools.";"Visualization of statistics; regression analysis procedures; probability; sampling and distributions; and inferential statistics for business";15
CCR412;Comparative Law 412;4 or 5;LLB 7162, LLB-ECP 7172;None;None;"Critically assess comparative law methodology; identify differences between SA and US legal systems; and perform critical comparative analysis of contemporary problems.";"Comparative law methodology; introduction to the US legal system; and contemporary problems such as race, bioethics, and the law";10
CHJ431;Child Justice 431;4 or 5;LLB 7162, LLB-ECP 7172;None;None;"Understand current SA child justice legislation and its socio-political context; evaluate child institutions and diversion services; and explain child justice theories and constitutional law.";"International child justice rules; the Child Justice bill; police procedures; court procedures; diversion theory; restorative justice; and sentencing practice";10
CIV302;Law of Civil Procedure 302;3 or 4;LLB 7162, LLB-ECP 7172;None;None;"Explain the judicial system; describe jurisdiction; distinguish actions from applications; evaluate trial preparation; assess costs; and describe the Constitution’s influence.";"Role of civil procedure; sources; court officials; jurisdiction; summons and application procedures; defended actions; judgments; costs; execution; rescission; and pleadings drafting";20
CLL431;Constitutional Litigation 431;4 or 5;LLB 7162, LLB-ECP 7172;CON202;None;"Litigate constitutional matters and draft pleadings; identify interpretive arguments; explain Superior Court jurisdiction and powers; and discuss rights infringement resolution.";"Core aspects of constitutional litigation including: access; standing; mootness; jurisdiction; interpretation; limitation analysis; and remedies";10
CLN431;Clinical Law 431;4 or 5;LLB 7162, LLB-ECP 7172;CIV302;None;"Apply consultation techniques (uBuntu); demonstrate drafting and negotiating; assess trial advocacy; express arguments; apply substantive law; and manage office skills.";"Client-centred interviewing; diversity training; trial advocacy; lawyer-client dynamics; file structures; pleadings drafting; case theory; and preparing bills of costs";20
CNL431;Conflict of Laws 431;4 or 5;LLB 7162, LLB-ECP 7172;None;None;"Describe the place of conflicts of law; evaluate its logic; develop legal arguments; apply principles to social transformation; and differentiate branch connections.";"General principles: intro/theories; characterisation; renvoi; proof of foreign law; choice of law; law of domicile; jurisdiction; and enforcement of foreign judgements";10
CNT301;Law of Contract 301;3 or 4;LLB 7162, LLB-ECP 7172, BA Law 7221, BCom Law 7211;None;None;"Understand offer and acceptance; explain contract basis and mistake; investigate delicts and remedies; explain the transformative role of the Constitution; and draft basic contracts.";"General principles/policies; constitutional values (fairness, legality); transformative constitutionalism; mistake; misrepresentation; remedies; duress; capacity; breach; and termination";20
CNT431;Advanced Law of Contract 431;4 or 5;LLB 7162, LLB-ECP 7172;CNT301;None;"Examine boundaries with other law branches; evaluate contractual justice; analyze the Constitution's impact; explain ubuntu and African Customary Law of Contract; and draft contracts.";"Relationships with other private law; Consumer Protection Act; restraint of trade; error; writing and formalities; African Customary Law of Contract; and drafting";10
CNY431;Conveyancing 431;4 or 5;LLB 7162, LLB-ECP 7172;THI211;None;"Understand Deeds Office procedures; draft powers of attorney and deeds; explain practical aspects and calculate transfer duty; and understand ownership statutes.";"Deeds Office procedures; drafting documents; transfer duty calculations; property transfer from deceased estates; mortgage bonds; and sectional titles";10
CON202;Constitutional Law 202;2 or 3;LLB 7162, LLB-ECP 7172, BA Law 7221, BCom Law 7211;None;None;"Discuss Constitutional values/principles; explain the making of the Constitution and its role in decolonisation; evaluate government structure and Bill of Rights application.";"Basic principles; historical survey; decolonisation and transformation; transformative constitutionalism; government structure; Bill of Rights; and Customary Law";20
COR401;Corporate Law 401;4 or 5;LLB 7162, LLB-ECP 7172;CNT301;None;"Analyse business entities concepts in social transformation; describe foundational principles and statutes for entity formation; resolve practical problems; and explain management.";"SA business entities (companies, CCs, trusts, partnerships); legal personality; pre-/post-incorporation contracts; shares; governance; finance; business rescue; and liquidation";20
CPL211;Company Law 211;3;BCom Law 7211;None;None;"Master fundamental rules and concepts of SA Company Law; understand procedures for entity formation and company management/administration.";"Company law and the law relating to close corporations; capita selecta from advanced company law";10
CPT431;Competition Law 431;4 or 5;LLB 7162, LLB-ECP 7172;None;None;"Identify competition regulation principles; demonstrate knowledge of justifications/policy in social transformation; and explore Africanisation in market de-concentration.";"History/policy; Competition Act and Amendment Bill; economics; restrictive practices (horizontal/vertical); abuse of dominance; mergers (digital environment); and jurisdiction";10
CRI431;Law and Social Transformation 431;4 or 5;LLB 7162, LLB-ECP 7172;ILL111 & ILL121 & CON202;JUR312;Identify and critique theoretical assumptions about law’s role in transforming post-colonial society, focusing on migration and spatial justice.;"Underlying theoretical assumptions; history/development of Critical Theory and Critical Legal Theory; and theories of social justice/transformation";10
CRJ411;Comparative Criminal Justice 411;4 or 5;LLB 7162, LLB-ECP 7172;CRL202 & LCP204;None;"Identify differences in SA and US criminal justice; evaluate plea bargaining, legal representation, sentencing, and incarceration; and assess death penalty policies.";"Delivery of defense services; plea-bargaining; sentencing; corrections; policing; administration of justice; prosecuting authority; and rights of legal representation";10
CRL202;Criminal Law 202;2 or 3;LLB 7162, LLB-ECP 7172, BA Law 7221;None;None;"Discuss structure and concepts; describe historical development and Constitution impact; evaluate criminal liability; and discuss fundamental values like legality.";"General principles of criminal law; selected offences; Constitution influence; criminal law in Africa; and reading/analytical skills development";20
CRL431;Advanced Criminal Law 431;4 or 5;LLB 7162, LLB-ECP 7172;THI211;None;"Discuss structure and concepts in Africanisation context; demonstrate critical knowledge of history and impact of the Constitution; and analyse criminal law controversies.";Capita selecta from the fields of criminal law and criminology;10
CTL421;Commercial Transactions Law 421;4 or 5;LLB 7162, LLB-ECP 7172;CNT301;None;"Explain agency elements and sources of power; discuss duties and principal-agent relationships; solve practical problems; and identify negotiable instruments.";"Agency (sources, duties, termination); Cession (effect, securitatem debiti); and Payment Instruments (negotiable instruments, signatures, liabilities, electronic fund transfers)";10
CUS311;Customary Law 311;3 or 4;LLB 7162, LLB-ECP 7172;None;None;"Identify foundational values of the Constitution and customary law; discuss the impact of the Bill of Rights; and identify constitutional developments affecting customary rules.";"Application/Nature of Customary Law; values; Bill of Rights relationship; Traditional Leadership; Women; Children; Marriage and succession; and Property Rights/Land";10
DEL201;Law of Delict 201;2 or 3;LLB 7162, LLB-ECP 7172, BA Law 7221, BCom Law 7211;None;None;"Demonstrate knowledge of concepts in Africanisation context; explain transformative impact of the Constitution; and distinguish fault and strict liability.";"Delict and the Constitution; multicultural society; elements of a delict; strict and vicarious liability; remedies; apportionment; and statutory compensation";20
ECO151;Introduction to Microeconomics 151;1;BCom Law 7211, LLB;QSC131/132;None;Demonstrate an informed understanding of basic microeconomic theory and awareness of how the economy works at the micro level.;"Demand and supply; elasticities; efficiency and equity; consumer behavior; firm behavior (profit/cost); market structures; and market failure";10
ECO152;Introduction to Macroeconomics 152;1;BCom Law 7211, LLB;None;QSC131/132;Demonstrate an understanding of how the various sectors of the economy interrelate using basic macroeconomic tools and theories.;"The macroeconomic problem; circular flow of income; national income accounting; aggregate D/S; unemployment; money/banking; inflation; and policy";10
ECO231;Microeconomics 231;2 or 3;BCom Law 7211;ECO151;None;"Explain and apply microeconomic principles within consumer theory, producer theory, and market structures; apply mathematical tools for analysis.";"Consumer behavior; individual and market demand; production theory; costs; profit maximisation; and market power (monopoly/monopsony)";10
ECO232;Macroeconomics 232;2 or 3;BCom Law 7211;ECO152;None;"Apply macroeconomic theory to SA issues; construct graphs and equations for macro concepts; and explain domestic and global developments.";"National Income; components of GDP; Goods and Financial Market; IS-LM model; labour market; and AS-AD model";10
ECO235;Intermediate Mathematical Economics 235;2;BCom Law 7211;ECO151;None;"Apply differentiation to solve non-linear economic problems; solve macro linear problems; explain matrix concepts; and apply integral calculus.";"Differentiation techniques; macro linear problems (AD-AS, IS-LM); micro non-linear problems (equilibrium); matrices; and integral calculus";10
ECO242;Econometrics 242;2;BCom Law 7211;ECO151 and ECO152;ECO231;"Explain the theoretical background of econometrics; apply basic math/stats tools to economic relationships; and use quantitative software.";"Theoretical background; analytical tools for relationships; functional forms for models; and mathematical/statistical analysis of data";10
ECO311;Econometrics 311;3;BCom Law 7211;ECO242;None;"Conduct multivariate regression analysis and inference tests; explain regression models with dummy variables and CLRM violations.";Detailed Main Content for Part 4 - consult department syllabus;15
ECO331;Microeconomics 331;3;BCom Law 7211;ECO231;None;"Explain and apply general equilibrium and welfare analysis; analyse behaviour under monopolistic competition/oligopoly; and use game theoretic models.";"Market structure; competitive strategy; pricing with market power; game theory; general equilibrium; and asymmetric information";15
