Module.Code,Module.Name,Year.Level,Programmes,Pre-requisite,Co-requisite
APG709,Research Project 709,1,BScHons Applied Geology 3710,None,None
APG721,Advanced Geology 721,1,BScHons Applied Geology 3710,None,None
APG722,Applied Geochemistry 722,1,BScHons Applied Geology 3710,None,None
APG723,Economic Geology and Exploration Techniques 723,1,BScHons Applied Geology 3710,APG321,None
APG724,Geology 724,1,BScHons Applied Geology 3710,None,None
ASP701,Research Project 701,1,BScHons Astrophysics 3793,None,None
ASP702,Topics in Physics 702,1,BScHons Astrophysics 3793,None,None
ASP703,General Astrophysics 703,1,"BScHons Astrophysics 3793, BScHons Physical Science 3714",None,None
ASP704,Computational Methods in Astronomy 704,1,BScHons Astrophysics 3793,None,None
ASP706,Astrophysical Physics Topics 706,1,BScHons Astrophysics 3793,None,None
ASP707,Geospace 707,1,BScHons Astrophysics 3793,None,None
ASP708,General Relativity 708,1,BScHons Astrophysics 3793,None,None
ASP709,Observational Techniques 709,1,BScHons Astrophysics 3793,None,None
ASP710,Cosmology 710,1,BScHons Astrophysics 3793,None,None
ASP711,Space Science Topics 711,1,BScHons Astrophysics 3793,None,None
ASP712,Advanced Topics in Astrophysics 712,1,"BScHons Astrophysics 3793, BScHons Physical Science 3714",None,None
ASP713,Electrodynamics 713,1,BScHons Astrophysics 3793,None,None
BCB700,Research Project 700,1,BScHons Biodiversity and Conservation Biology 3731,None,None
BCB731,Systematics and Evolution 731,1,BScHons Biodiversity and Conservation Biology 3731,None,None
BCB736,Biodiversity Information Management 736,1,BScHons Biodiversity and Conservation Biology 3731,None,None
BCB738,Marine Biology 738,1,BScHons Biodiversity and Conservation Biology 3731,None,None
BCB739,Herpetology 739,1,BScHons Biodiversity and Conservation Biology 3731,None,None
BCB742,Research Method 742,1,BScHons Biodiversity and Conservation Biology 3731,None,None
BCB743,Quantitative Ecology 743,1,BScHons Biodiversity and Conservation Biology 3731,None,BCB744
BCB744,Biostatistics 744,1,BScHons Biodiversity and Conservation Biology 3731,None,None
