Module.code,Module.name,Year.Level,Programmes,Pre-requisite,Co-requisite
APG232,Geology 232,Year 2,"BSc Applied Geology 3214 ,BSc Environment and Water Science 3331 ,BSc Applied Geology Extended 3011 ","ESC111, ESC121",None
APG234,Geology 234,Year 2,"BSc Applied Geology 3214 ,BSc Applied Geology Extended 3011 ","ESC111, ESC121",None
APG235,Geology 235,Year 2,"BSc Applied Geology 3214 ,BSc Applied Geology Extended 3011 ","ESC111, ESC121",None
APG312,Geology 312,Year 3,"BSc Applied Geology 3214 ,BSc Applied Geology Extended 3011 ","APG232, APG234",None
APG323,Geology 323,Year 3,"BSc Applied Geology 3214 ,BSc Applied Geology Extended 3011 ","APG232, APG234, APG235",None
APG324,Geology 324,Year 3,"BSc Applied Geology 3214 ,BSc Applied Geology Extended 3011 ","APG232, APG234, APG235",None
APG325,Geology 325,Year 3,"BSc Applied Geology 3214 ,BSc Applied Geology Extended 3011 ","APG232, APG234, APG235",None
APM112,Mathematics 112,Year 1,"BSc Mathematics and Statistical Sciences 3227 ,BSc Physical Science 3233 ",None,MAT105 or MAT104 or MAM152
APM123,Applied Mathematics 123,Year 1,"BSc Mathematics and Statistical Sciences 3227 ,BSc Physical Science 3233 ",None,MAT105 or MAT104 or MAM152
BDC211,Biodiversity and Conservation Biology 211,Year 2,"BSc Biodiversity and Conservation Biology 3217 ,BSc Environment and Water Science 3331 ,BSc Biodiversity and Conservation Biology Extended 3015 ",LSC142 or LFS152,None
BDC221,Biodiversity and Conservation Biology 221,Year 2,"BSc Biodiversity and Conservation Biology 3217 ,BSc Environment and Water Science 3331 ,BSc Biodiversity and Conservation Biology Extended 3015 ",LSC142 or LFS152,None
BDC222,Biodiversity and Conservation Biology 222,Year 2,"BSc Biodiversity and Conservation Biology 3217 ,BSc Environment and Water Science 3331 ,BSc Biodiversity and Conservation Biology Extended 3015 ",LSC141/142 or LFS151/152,None
BDC223,Biodiversity and Conservation Biology 223,Year 2,"BSc Biodiversity and Conservation Biology 3217 ,BSc Environment and Water Science 3331 ,BSc Biodiversity and Conservation Biology Extended 3015 ","LSC141, LSC142 (or LFS151, LFS152 AND CHE114 (or CHE124, CHE116, CHM126 ",None
BDC332,Biodiversity and Conservation Biology 332,Year 3,"BSc Biodiversity and Conservation Biology 3217 ,BSc Biodiversity and Conservation Biology Extended 3015 ",BDC222,None
