Programme.Name,Programme.Code,Abbreviation,Duration.Years
Bachelor of Science in Applied Geology,3214,BSc Applied Geology ,3
Bachelor of Science in Biodiversity and Conservation Biology,3217,BSc Biodiversity and Conservation Biology ,3
Bachelor of Science in Biotechnology,3211,BSc Biotechnology ,3
Bachelor of Science in Chemical Sciences,3220,BSc Chemical Sciences ,3
Bachelor of Science in Computer Science,3221,BSc Computer Science ,3
Bachelor of Science in Environment and Water Science,3331,BSc Environment and Water Science ,3
Bachelor of Science in Mathematics and Statistical Sciences,3227,BSc Mathematics and Statistical Sciences ,3
Bachelor of Science in Medical Bioscience,3230,BSc Medical Bioscience ,3
Bachelor of Science in Physical Science,3233,BSc Physical Science ,3
Bachelor of Pharmacy,3305,BPharm,4
Bachelor of Science Honours in Applied Geology,3710,BScHons Applied Geology ,1
Bachelor of Science Honours in Astrophysics,3793,BScHons Astrophysics ,1
Bachelor of Science Honours in Biodiversity and Conservation Biology,3731,BScHons Biodiversity and Conservation Biology ,1
Bachelor of Science Honours in Biotechnology,3707,BScHons Biotechnology ,1
Bachelor of Science Honours in Chemistry,3734,BScHons Chemistry ,1
Bachelor of Science Honours in Computational Finance,3739,BScHons Computational Finance ,1
Bachelor of Science Honours in Computer Science,3735,BScHons Computer Science ,1
Bachelor of Science Honours in Environment and Water Science,3780,BScHons Environment and Water Science ,1
Bachelor of Science Honours in Mathematics,3736,BScHons Mathematics ,1
Bachelor of Science Honours in Medical Bioscience,3721,BScHons Medical Bioscience ,1
Bachelor of Science Honours in Physical Science,3714,BScHons Physical Science ,1
Bachelor of Science Honours in Population Studies,3738,BScHons Population Studies ,1
Bachelor of Science Honours in Statistical Science,3737,BScHons Statistical Science ,1
Master of Pharmacy,3851,MPharm,1
Master of Philosophy in Population Studies,3921,MPhil Population Studies ,1
Master of Science in Applied Geology,3891,MSc Applied Geology ,1
Master of Science in Biodiversity and Conservation Biology,3824,MSc Biodiversity and Conservation Biology ,1
Master of Science in Bioinformatics,3895,MSc Bioinformatics ,1
Master of Science in Biotechnology,3185,MSc Biotechnology ,1
Master of Science in Chemical Sciences,3823,MSc Chemical Sciences ,1
Master of Science in Computational Finance,3093,MSc Computational Finance ,1
Master of Science in Computer Science,3848,MSc Computer Science ,1
Master of Science in Environment and Water Science,3085,MSc Environment and Water Science ,1
Master of Science in Mathematical Science,3849,MSc Mathematical Science ,1
Master of Science in Medical Bioscience,3819,MSc Medical Bioscience ,1
Master of Science in Nanoscience,3089,MSc Nanoscience ,2
Master of Science in Pharmaceutical Sciences,3181,MSc Pharmaceutical Sciences ,2
Master of Science in Pharmacy Administration and Policy Regulation,3859,MSc Pharmacy Administration and Policy Regulation ,2
Master of Science in Physical Science,3081,MSc Physical Science ,1
Master of Science in Statistical Science,3838,MSc Statistical Science ,1
Master of Clinical Pharmacy,3852,M Clinical Pharmacy,3
Doctor of Pharmacy,3951,DPharm,2
Doctor of Philosophy,3961,PhD,2
