Module code;Module name;Year Level;Programmes;Pre-requisite;Co-requisite;Learning Outcome;Main Content;Credits
APG232;Geology 232;Year 2;BSc Applied Geology 3214 ,BSc Environment and Water Science 3331 ,BSc Applied Geology Extended 3011 ;ESC111, ESC121;None;"Identify crystal forms/systems; describe mineral properties; explain geochemistry principles and sedimentary processes.";"Crystallography; mineral classification; atomic theory; bonding; geochemical principles; sedimentary rock classification.";20
APG234;Geology 234;Year 2;BSc Applied Geology 3214 ,BSc Applied Geology Extended 3011 ;ESC111, ESC121;None;"Understand map construction, rock deformation, and light propagation; use polarized-light microscopes.";"Geological map reading; cross-sections; stress and strain concepts; microscopic mineral identification.";20
APG235;Geology 235;Year 2;BSc Applied Geology 3214 ,BSc Applied Geology Extended 3011 ;ESC111, ESC121;None;"Observe/describe field rock occurrences; locate self in field; produce geological maps and take measurements.";"Characterization and mapping of igneous/metamorphic rocks; structural measurements; report production.";20
APG312;Geology 312;Year 3;BSc Applied Geology 3214 ,BSc Applied Geology Extended 3011 ;APG232, APG234;None;"Outline petroleum history; assess hydrocarbon accumulation; categorize depositional environments; analyze sedimentary systems.";"Petroleum evolution; facies analysis; depositional systems; well logs; seismic exploration; reservoir modeling.";30
APG323;Geology 323;Year 3;BSc Applied Geology 3214 ,BSc Applied Geology Extended 3011 ;APG232, APG234, APG235;None;"Evaluate igneous/metamorphic rock origins and textures; relate mineralogy to chemistry; interpret phase diagrams.";"Igneous and metamorphic rock-forming processes; phase diagrams; origin and evolution of rock types.";30
APG324;Geology 324;Year 3;BSc Applied Geology 3214 ,BSc Applied Geology Extended 3011 ;APG232, APG234, APG235;None;"Reflect on Earth's interior dynamics; evaluate tectonics and ore deposit formation; analyze geochemical data.";"Plate tectonics; Wilson cycle; structural analysis; genetic classification of ore deposits; exploration geochemistry.";30
APG325;Geology 325;Year 3;BSc Applied Geology 3214 ,BSc Applied Geology Extended 3011 ;APG232, APG234, APG235;None;"Apply spatial techniques in geology; analyze interpretation of geospatial data; integrate data into computer models.";"GIS concepts; cartography; geodatabases; 2D/3D modelling; satellite imagery; field mapping.";30
APM112;Mathematics 112;Year 1;BSc Mathematics and Statistical Sciences 3227 ,BSc Physical Science 3233 ;None;MAT105 or MAT104 or MAM152;Apply mathematical methods and techniques in Physical Sciences.;Refer to Faculty of Natural Sciences descriptors (Mathematics and Applied Mathematics).;15
APM123;Applied Mathematics 123;Year 1;BSc Mathematics and Statistical Sciences 3227 ,BSc Physical Science 3233 ;None;MAT105 or MAT104 or MAM152;Refer to Faculty of Natural Sciences descriptors.;Refer to Faculty of Natural Sciences descriptors.;15
BDC211;Biodiversity and Conservation Biology 211;Year 2;BSc Biodiversity and Conservation Biology 3217 ,BSc Environment and Water Science 3331 ,BSc Biodiversity and Conservation Biology Extended 3015 ;LSC142 or LFS152;None;Compulsory module in Biodiversity stream.;Biodiversity and Conservation Biology 211.;20
BDC221;Biodiversity and Conservation Biology 221;Year 2;BSc Biodiversity and Conservation Biology 3217 ,BSc Environment and Water Science 3331 ,BSc Biodiversity and Conservation Biology Extended 3015 ;LSC142 or LFS152;None;Compulsory module in Biodiversity stream.;Biodiversity and Conservation Biology 221.;20
BDC222;Biodiversity and Conservation Biology 222;Year 2;BSc Biodiversity and Conservation Biology 3217 ,BSc Environment and Water Science 3331 ,BSc Biodiversity and Conservation Biology Extended 3015 ;LSC141/142 or LFS151/152;None;Compulsory module in Biodiversity stream.;Biodiversity and Conservation Biology 222.;20
BDC223;Biodiversity and Conservation Biology 223;Year 2;BSc Biodiversity and Conservation Biology 3217 ,BSc Environment and Water Science 3331 ,BSc Biodiversity and Conservation Biology Extended 3015 ;LSC141, LSC142 (or LFS151, LFS152 AND CHE114 (or CHE124, CHE116, CHM126 ;None;Compulsory module in Biodiversity stream.;Biodiversity and Conservation Biology 223.;20
BDC332;Biodiversity and Conservation Biology 332;Year 3;BSc Biodiversity and Conservation Biology 3217 ,BSc Biodiversity and Conservation Biology Extended 3015 ;BDC222;None;Compulsory module in Biodiversity stream.;Biodiversity and Conservation Biology 332.;30
BDC333;Biodiversity and Conservation Biology 333;Year 3;BSc Biodiversity and Conservation Biology 3217 ,BSc Biodiversity and Conservation Biology Extended 3015 ;BDC222, BDC211;None;Compulsory module in Biodiversity stream.;Biodiversity and Conservation Biology 333.;30
BDC334;Biodiversity and Conservation Biology 334;Year 3;BSc Biodiversity and Conservation Biology 3217 ,BSc Biodiversity and Conservation Biology Extended 3015 ;BDC222, BDC211, BDC223;None;Compulsory module in Biodiversity stream.;Biodiversity and Conservation Biology 334.;30
BDC335;Biodiversity and Conservation Biology 335;Year 3;BSc Biodiversity and Conservation Biology 3217 ,BSc Biodiversity and Conservation Biology Extended 3015 ;BDC222, BDC211, BDC221;None;Compulsory module in Biodiversity stream.;Biodiversity and Conservation Biology 335.;30
